boletin,fecha_publicacion,fecha_firma,tipo,numero,objeto,tags,pdf
#1143,04/04/2024,20/03/2024,Decreto,DECRE-2024-261-SI-INTEN,"Expediente Nº 1807-2024 - Adjudicar el Concurso de Precios N° 24/2024, para la adquisición de “PELÍCULAS LÁSER PARA SALUD”.",Adjudicación,
#1143,04/04/2024,21/03/2024,Decreto,DECRE-2024-262-SI-INTEN,"Expediente Nº 2065-2024 - Adjudicar el Concurso de Precios N° 33/2024, para la adquisición de “BOLSAS OXIBIODEGRADABLES”.",Adjudicación,
#1143,04/04/2024,21/03/2024,Decreto,DECRE-2024-263-SI-INTEN,Expediente Nº 2200-2023 (Alcance 1) - Otorgar un reconocimiento de mayores costos sobre las prestaciones adjudicadas mediante Licitación Pública N° 12/2023 (BG ANALIZADORES S.A).,Reconocimiento Mayores Costos,
#1143,04/04/2024,22/03/2024,Decreto,DECRE-2024-270-SI-INTEN,"Expediente Nº 2767-2019 (Alcance 13) - Otorgar un reconocimiento de mayores costos a la empresa SEGURIDAD GRUPO MAIPÚ S.A. (CUIT N° 30-69079256-3), adjudicataria de la Licitación Pública N° 16/2019.",Reconocimiento Mayores Costos,
#1143,04/04/2024,25/03/2024,Decreto,DECRE-2024-278-SI-INTEN,"Expediente Nº 2062-2024 - Adjudicar el Concurso de Precios N° 31/2024, para la adquisición de “HIPOCLORITO DE SODIO (CLORO)”.",Concurso de Precios | Adjudicación,
#1143,04/04/2024,25/03/2024,Decreto,DECRE-2024-279-SI-INTEN,"Expediente N° 3063-2021 (Alcances 4 y 5) - Otorgar un reconocimiento de mayores costos a SOMA S.A. (CUIT N° 30-61608997-4), adjudicataria de la Licitación Pública N° 28/2021.",Reconocimiento de mayores costos | Licitación Pública,
#1144,18/04/2024,08/04/2024,Decreto,DECRE-2024-313-SI-INTEN,"Expediente Nº 12653-2014 (Alcances 33, 34 y 37) - Reconocimiento de mayores costos a las firmas Benito Roggio e Hijos S.A. – CLIBA – Ingeniería Ambiental S.A. – UTE, CUIT N° 30-69724712-9, adjudicatarias de la Licitación Pública N° 17/2014.",Mayores Costos,
#1144,18/04/2024,08/04/2024,Decreto,DECRE-2024-318-SI-INTEN,"Expediente Nº 2235-2024 - Adjudicar el Concurso de Precios N° 36/2024, para la adquisición de “COLCHONES HOSPITALARIOS”.",Adjudicación,
#1144,18/04/2024,08/04/2024,Decreto,DECRE-2024-320-SI-INTEN,"Expediente Nº 6727-2018 (Alcances 21, 22 y 23) - Otorgar un reconocimiento de mayores costos a la firma LEPAK S.R.L., CUIT N° 30-70829137-0, adjudicataria de la Licitación Pública N° 18/2018.",Mayores Costos,
#1144,18/04/2024,09/04/2024,Decreto,DECRE-2024-327-SI-INTEN,"Expte. Nº 1804/2024.- Adjudicar el Concurso de Precios N° 25/2024, para la contratación del “SERVICIO DE GASES MEDICINALES”.-",Adjudicación,
