accion,boletin,fecha_publicacion,fecha_firma,tipo,numero,objeto,tags,pdf
promulga,#1211,05/12/2025,25/11/2025,Decreto,DECRE-2025-1402-SI-INTEN,Expediente N° EX-2025-00240058-SI-DDS - Limitar el traslado en comisión del Sr. Carlos Esteban Mónaco (Legajo N° 18.148) al Honorable Concejo Deliberante y reubicar al agente en la Tesorería General.-,Reubicación | Personal,
promulga,#1212,19/12/2025,02/12/2025,Decreto,DECRE-2025-1476-SI-INTEN,Expediente EX-2025-00134822-SI-SSMOV - Ordenanza N° 9390.,Modificación | Sentido de Circulación,
promulga,#1212,19/12/2025,04/12/2025,Decreto,DECRE-2025-1497-SI-INTEN,"Expediente N° 11411/2024 - Ocupar preventivamente el inmueble ubicado en la calle Edison N° 802, ciudad de Martínez, en el marco de la Ordenanza General N° 38.-",Ocupación Preventiva | Inmueble,
promulga,#1213,30/12/2025,18/12/2025,Decreto,DECRE-2025-1558-SI-INTEN,"Expediente EX-2025-00273252-SI-SDMEYA - Ordenanza N° 9390. Modificar el sentido de circulación de la calle La Paz, en el tramo comprendido entre las calles Dardo Rocha y Catamarca.-",Modificación | Sentido de Circulación,
promulga,#1213,30/12/2025,23/12/2025,Decreto,DECRE-2025-1576-SI-INTEN,Expediente N° 270302/2025 - Promulgar y hacer cumplir la Ordenanza Municipal N° 9414.-,Promulgación | Ordenanza Municipal,
promulga,#1213,30/12/2025,23/12/2025,Decreto,DECRE-2025-1577-SI-INTEN,Expediente N° 270506/2025 - Promulgar y hacer cumplir la Ordenanza Municipal N° 9415.-,Promulgación | Ordenanza Municipal,
promulga,#1213,30/12/2025,26/12/2025,Decreto,DECRE-2025-1594-SI-INTEN,Expediente N° 264731/2025 (Cuerpos 0 a 8 ) - Promulgación Ordenanza N° 9422 .-,Promulgación | Ordenanza,
promulga,#1217,06/01/2026,30/12/2025,Decreto,DECRE-2025-1603-SI-INTEN,Expediente N° 71473/2025 - Promulgar y hacer cumplir la Ordenanza Municipal N° 9420.-,Promulgación | Ordenanza,
promulga,#1217,06/01/2026,30/12/2025,Decreto,DECRE-2025-1608-SI-INTEN,Expediente N° 33966/2025 - Promulgar y hacer cumplir la Ordenanza Municipal N° 9421.-,Promulgación | Ordenanza,
promulga,#1221,26/02/2026,02/01/2026,Decreto,DECRE-2026-1-SI-INTEN,Expediente N° 4096/2025 - Promulgar y hacer cumplir la Ordenanza Municipal N° 9416.-,Promulgación | Ordenanza,
promulga,#1221,26/02/2026,07/01/2026,Decreto,DECRE-2026-11-SI-INTEN,Expediente N° 109952/2025 - Promulgar y hacer cumplir la Ordenanza Municipal N° 9417.-,Promulgación | Ordenanza,
promulga,#1221,26/02/2026,09/01/2026,Decreto,DECRE-2026-26-SI-INTEN,"Expediente N° EX-2025-00278883-SI-DDS - Inclusión artículo 15, inc. a de la Ordenanza N° 9381.-",Bonificación,
observa_o_suprime,#1221,26/02/2026,12/01/2026,Decreto,DECRE-2026-37-SI-INTEN,EX-2025-283656-SI-SECAMEP - Promulgar y hacer cumplir la Ordenanza Municipal N° 9418 y suprimir el una frase del artículo 31 del Anexo I.-,Observación | Promulgación | Ordenanza Municipal,
promulga,#1221,26/02/2026,15/01/2026,Decreto,DECRE-2026-62-SI-INTEN,"Expediente N° EX-2025-00098159-SI-DGRRHH - Trasladar en comisión al Sr. Esteban Daniel Lotz (Legajo N° 12.368) al Honorable Concejo Deliberante y limitar las funciones de Director General, asignándole funciones administrativas.-",Traslado | Personal,
promulga,#1222,31/03/2026,23/02/2026,Decreto,DECRE-2026-217-SI-INTEN,Expediente N° EX-2025-00269568-SI-SSRC - Promulgación de la Ordenanza N° 9419.-,Promulgación | Ordenanza Municipal,
