anio,bloque,concepto,monto_pesos,fuente,confianza
2016,resultado,Ahorro corriente,285516631.15,Fallo HTC 3-109.0-2016 (OCR),alta
2016,resultado,Resultado financiero,183542494.82,Fallo HTC 3-109.0-2016 (OCR),alta - verificado a ojo sobre el PDF y por identidad RF = aplicaciones - fuentes
2016,resultado,Fuentes financieras,483027104.50,Fallo HTC 3-109.0-2016 (OCR),alta
2016,resultado,Aplicaciones financieras,666569599.32,Fallo HTC 3-109.0-2016 (OCR),alta
2016,resultado,Resultado ejecutado (art. 44),-231308467.16,Fallo HTC 3-109.0-2016 (OCR),alta
2016,resultado,Resultado art. 26,-415991200.00,Fallo HTC 3-109.0-2016 (OCR),alta
2016,resultado,Resultado del Ejercicio (balance general),634784642.55,Fallo HTC 3-109.0-2016 (OCR),alta
2017,recursos_total,Recaudacion en rubros de calculo,4870607774.06,Fallo HTC 3-109.0-2017 + Rendicion MSI,alta - coincide en 2 fuentes
2017,recursos_origen,Origen municipal,2971248683.74,Rendicion MSI 2017 (OCR),alta - suma cuadra
2017,recursos_origen,Origen provincial,1782417383.91,Rendicion MSI 2017 (OCR),alta - suma cuadra
2017,recursos_origen,Origen nacional,23846969.18,Rendicion MSI 2017 (OCR),alta - suma cuadra
2017,recursos_origen,Otros origenes,93094737.23,Rendicion MSI 2017 (OCR),alta - suma cuadra
2017,recursos_caracter,Recursos corrientes,4867387417.48,Rendicion MSI 2017 (OCR),alta
2017,recursos_caracter,Recursos de capital,3220356.58,Rendicion MSI 2017 (OCR),alta
2017,gastos_total,Gastos con imputacion al presupuesto,5632276720.79,Fallo HTC 3-109.0-2017 + Rendicion MSI,alta - coincide en 2 fuentes
2017,gastos_caracter,Gastos corrientes,4637081617.73,Rendicion MSI 2017 (OCR),alta - suma cuadra
2017,gastos_caracter,Gastos de capital,513107873.52,Rendicion MSI 2017 (OCR),alta - suma cuadra
2017,gastos_caracter,Aplicaciones financieras,482087229.54,Rendicion MSI 2017 (OCR),alta - suma cuadra
2017,gastos_objeto,Recursos humanos (personal),1871437954.22,Rendicion MSI 2017 grafico (OCR),alta - suma cuadra con total HTC
2017,gastos_objeto,Bienes de consumo,355047786.73,Rendicion MSI 2017 grafico (OCR),alta - suma cuadra
2017,gastos_objeto,Servicios no personales,1992276590.74,Rendicion MSI 2017 grafico (OCR),alta - suma cuadra
2017,gastos_objeto,Bienes de uso,510407874.22,Rendicion MSI 2017 grafico (OCR),alta - suma cuadra
2017,gastos_objeto,Transferencias,421019285.34,Rendicion MSI 2017 grafico (OCR),alta - suma cuadra
2017,gastos_objeto,Servicio de la deuda y disminucion de otros pasivos,482087229.54,Rendicion MSI 2017 grafico (OCR),alta - suma cuadra
2017,resultado,Ahorro corriente,230305799.75,Fallo HTC 3-109.0-2017 (OCR),alta
2017,resultado,Resultado financiero,-279581717.19,Fallo HTC 3-109.0-2017 (OCR),alta
2017,resultado,Resultado ejecutado (art. 44),-516382873.38,Fallo HTC 3-109.0-2017 (OCR),alta
2017,resultado,Resultado art. 26,-600420149.85,Fallo HTC 3-109.0-2017 (OCR),alta
2017,resultado,Resultado del Ejercicio (balance general),786760284.97,Fallo HTC 3-109.0-2017 (OCR),alta
2022,recursos_total,Recaudacion en rubros de calculo (HTC),33942866674.59,Fallo HTC 3-109.0-2022 (texto),alta
2022,recursos_total,Total recursos por origen (MSI),34130379003.31,Rendicion MSI 2022 (OCR),alta - difiere del HTC en 187512328.72
2022,recursos_origen,Origen municipal,22396678948.20,Rendicion MSI 2022 (OCR),alta - suma cuadra
2022,recursos_origen,Origen provincial,10613361075.19,Rendicion MSI 2022 (OCR),alta - suma cuadra
2022,recursos_origen,Origen nacional,681715327.76,Rendicion MSI 2022 (OCR),alta - suma cuadra
2022,recursos_origen,Otros origenes,438623652.16,Rendicion MSI 2022 (OCR),alta - suma cuadra
2022,recursos_caracter,Recursos corrientes,34130320555.84,Rendicion MSI 2022 (OCR),alta
2022,recursos_caracter,Recursos de capital,58447.47,Rendicion MSI 2022 (OCR),alta
2022,recursos_caracter,Fuentes financieras,0.00,Rendicion MSI 2022 (OCR),alta
2022,gastos_total,Gastos con imputacion al presupuesto,33280377868.83,Fallo HTC 3-109.0-2022 + Rendicion MSI,alta - coincide en 2 fuentes
2022,gastos_caracter,Gastos corrientes,28698450217.66,Rendicion MSI 2022 (OCR),alta - suma cuadra
2022,gastos_caracter,Gastos de capital,3306883640.16,Rendicion MSI 2022 (OCR),alta - suma cuadra
2022,gastos_caracter,Aplicaciones financieras,1275044011.01,Rendicion MSI 2022 (OCR),alta - suma cuadra
2022,gastos_objeto,Recursos humanos (personal),12207707299.81,Rendicion MSI 2022 (OCR),alta - suma cuadra
2022,gastos_objeto,Bienes de consumo,2694748161.75,Rendicion MSI 2022 (OCR),alta - suma cuadra
2022,gastos_objeto,Servicios no personales,12830634554.43,Rendicion MSI 2022 (OCR),alta - suma cuadra
2022,gastos_objeto,Bienes de uso,3299327314.44,Rendicion MSI 2022 (OCR),alta - suma cuadra
2022,gastos_objeto,Transferencias,972916527.39,Rendicion MSI 2022 (OCR),alta - suma cuadra
2022,gastos_objeto,Servicio de la deuda y disminucion de otros pasivos,1275044011.01,Rendicion MSI 2022 (OCR),alta - suma cuadra
2022,resultado,Ahorro corriente,5244358009.46,Fallo HTC 3-109.0-2022 (texto),alta
2022,resultado,Resultado financiero,1937532816.77,Fallo HTC 3-109.0-2022 (texto),alta
2022,resultado,Fuentes financieras,2138947977.46,Fallo HTC 3-109.0-2022 (texto),alta
2022,resultado,Aplicaciones financieras,4076480794.23,Fallo HTC 3-109.0-2022 (texto),alta
2022,resultado,Resultado ejecutado (art. 44),2140514413.29,Fallo HTC 3-109.0-2022 (texto),alta
2022,resultado,Resultado art. 26,-1430245803.26,Fallo HTC 3-109.0-2022 (texto),alta
2022,resultado,Resultado del Ejercicio (balance general),7137685456.26,Fallo HTC 3-109.0-2022 (texto),alta
