INVENTARIO DE DESCARGAS
Fecha de descarga: 2026-09-04 00:14

ARCHIVO                                                                       BYTES  URL DE ORIGEN
sanisidro_transparencia/ordenanza_fiscal_impositiva/ordenanza_impositiva_2024.pdf      3536920  https://www.sanisidro.gob.ar/sites/default/files/img/ordenanza_impositiva_2024.pdf
sanisidro_transparencia/rendicion_de_cuentas/_rendicion2017.pdf.pdf          988254  https://www.sanisidro.gob.ar/sites/default/files/img/_rendicion2017.pdf.pdf
sanisidro_transparencia/rendicion_de_cuentas/informe_arsi_rendicion_de_cuentas_2019.pdf       560033  https://www.sanisidro.gob.ar/sites/default/files/img/informe_arsi_rendicion_de_cuentas_2019.pdf
sanisidro_transparencia/rendicion_de_cuentas/informe_arsi_rendicion_de_cuentas_2020.pdf       665359  https://www.sanisidro.gob.ar/sites/default/files/img/informe_arsi_rendicion_de_cuentas_2020.pdf
sanisidro_transparencia/rendicion_de_cuentas/informe_arsi_rendicion_de_cuentas_2021.pdf       628963  https://www.sanisidro.gob.ar/sites/default/files/img/informe_arsi_rendicion_de_cuentas_2021.pdf
sanisidro_transparencia/rendicion_de_cuentas/msi-rendicion-2015.pdf         1081687  https://www.sanisidro.gob.ar/sites/default/files/img/msi-rendicion-2015.pdf
sanisidro_transparencia/rendicion_de_cuentas/msi-rendicion-a-o-2014.pdf      1560550  https://www.sanisidro.gob.ar/sites/default/files/img/msi-rendicion-a-o-2014.pdf
sanisidro_transparencia/rendicion_de_cuentas/msi_rendicion_2022_1.pdf        336181  https://www.sanisidro.gob.ar/sites/default/files/img/msi_rendicion_2022_1.pdf
sanisidro_transparencia/rendicion_de_cuentas/rendicion2010.pdf                77196  https://www.sanisidro.gob.ar/sites/default/files/img/rendicion2010.pdf
sanisidro_transparencia/rendicion_de_cuentas/rendicionctas-2012_02.pdf      3482396  https://www.sanisidro.gob.ar/sites/default/files/img/rendicionctas-2012_02.pdf
sanisidro_transparencia/rendicion_de_cuentas/rendicionctas20111.pdf         2475041  https://www.sanisidro.gob.ar/sites/default/files/img/rendicionctas20111.pdf
sanisidro_transparencia/otros/prioridades_estrategicas_2024-2025.pdf        1190973  https://www.sanisidro.gob.ar/sites/default/files/img/prioridades_estrategicas_2024-2025.pdf
sanisidro_transparencia/presupuestos/2024_presupuesto_de_recursos_y_gastos_por_rubro_y_objeto.pdf        60313  https://www.sanisidro.gob.ar/sites/default/files/img/2024_presupuesto_de_recursos_y_gastos_por_rubro_y_objeto.pdf
sanisidro_transparencia/presupuestos/_presupuesto2017.pdf.pdf                864971  https://www.sanisidro.gob.ar/sites/default/files/img/_presupuesto2017.pdf.pdf
sanisidro_transparencia/presupuestos/_presupuesto2018.pdf.pdf               2150156  https://www.sanisidro.gob.ar/sites/default/files/img/_presupuesto2018.pdf.pdf
sanisidro_transparencia/presupuestos/informe_arsi_presupuesto_2019.pdf       731989  https://www.sanisidro.gob.ar/sites/default/files/img/informe_arsi_presupuesto_2019.pdf
sanisidro_transparencia/presupuestos/informe_arsi_presupuesto_2020.pdf       732495  https://www.sanisidro.gob.ar/sites/default/files/img/informe_arsi_presupuesto_2020.pdf
sanisidro_transparencia/presupuestos/informe_arsi_presupuesto_2021.pdf       741229  https://www.sanisidro.gob.ar/sites/default/files/img/informe_arsi_presupuesto_2021.pdf
sanisidro_transparencia/presupuestos/msi-presupuesto-municipal-2016.pdf       873393  https://www.sanisidro.gob.ar/sites/default/files/img/msi-presupuesto-municipal-2016.pdf
sanisidro_transparencia/presupuestos/msipresupuesto2013v2.pdf               1898985  https://www.sanisidro.gob.ar/sites/default/files/img/msipresupuesto2013v2.pdf
sanisidro_transparencia/presupuestos/ordenanza_del_presupuesto_2026_1.pdf      8110572  https://www.sanisidro.gob.ar/sites/default/files/img/ordenanza_del_presupuesto_2026_1.pdf
sanisidro_transparencia/presupuestos/ordenanza_prespuesto_2024.pdf          6149820  https://www.sanisidro.gob.ar/sites/default/files/img/ordenanza_prespuesto_2024.pdf
sanisidro_transparencia/presupuestos/ordenanza_presupuesto_hcd_-_msi_2.pdf      7234158  https://www.sanisidro.gob.ar/sites/default/files/img/ordenanza_presupuesto_hcd_-_msi_2.pdf
sanisidro_transparencia/presupuestos/presentacion_power_point_presupuesto_2023_1.pdf       622394  https://www.sanisidro.gob.ar/sites/default/files/img/presentacion_power_point_presupuesto_2023_1.pdf
sanisidro_transparencia/presupuestos/presupuesto2011.pdf                     189510  https://www.sanisidro.gob.ar/sites/default/files/img/presupuesto2011.pdf
sanisidro_transparencia/presupuestos/presupuesto2012municipalidaddesanisidro.pdf      3186138  https://www.sanisidro.gob.ar/sites/default/files/img/presupuesto2012municipalidaddesanisidro.pdf
sanisidro_transparencia/presupuestos/presupuesto_2024_hcd.pdf                999965  https://www.sanisidro.gob.ar/sites/default/files/img/presupuesto_2024_hcd.pdf
sanisidro_transparencia/presupuestos/presupuesto_2025_msi.pdf                450434  https://www.sanisidro.gob.ar/sites/default/files/img/presupuesto_2025_msi.pdf
sanisidro_transparencia/presupuestos/presupuesto_de_gastos_y_calculo_de_recursos_2010.pdf       968338  https://www.sanisidro.gob.ar/sites/default/files/img/presupuesto_de_gastos_y_calculo_de_recursos_2010.pdf
sanisidro_transparencia/presupuestos/presupuesto_municipal_2014_03.pdf     10445031  https://www.sanisidro.gob.ar/sites/default/files/img/presupuesto_municipal_2014_03.pdf
sanisidro_transparencia/presupuestos/presupuesto_municipal_2022-presentacion_en_el_honorable_concejo_deliberante-noviembre_2021_1.pdf       397491  https://www.sanisidro.gob.ar/sites/default/files/img/presupuesto_municipal_2022-presentacion_en_el_honorable_concejo_deliberante-noviembre_2021_1.pdf
sanisidro_transparencia/situacion_economico_financiera/estadoeconomicoal31-12-12nuevologo.pdf        33181  https://www.sanisidro.gob.ar/sites/default/files/img/estadoeconomicoal31-12-12nuevologo.pdf
sanisidro_transparencia/situacion_economico_financiera/esteco-anual-al-30-12-13nuevologo.pdf      1289451  https://www.sanisidro.gob.ar/sites/default/files/img/esteco-anual-al-30-12-13nuevologo.pdf
sanisidro_transparencia/situacion_economico_financiera/sef_-_i_trim_2024_msi.pdf       304673  https://www.sanisidro.gob.ar/sites/default/files/img/sef_-_i_trim_2024_msi.pdf
sanisidro_transparencia/situacion_economico_financiera/sef_-_i_trim_2025_msi.pdf       272403  https://www.sanisidro.gob.ar/sites/default/files/img/sef_-_i_trim_2025_msi.pdf
sanisidro_transparencia/situacion_economico_financiera/sef_-_ii_trim_2024_msi.pdf       276156  https://www.sanisidro.gob.ar/sites/default/files/img/sef_-_ii_trim_2024_msi.pdf
sanisidro_transparencia/situacion_economico_financiera/sef_-_ii_trim_2025_msi.pdf       281739  https://www.sanisidro.gob.ar/sites/default/files/img/sef_-_ii_trim_2025_msi.pdf
sanisidro_transparencia/situacion_economico_financiera/sef_-_ii_trim_2026_msi.pdf       251060  https://www.sanisidro.gob.ar/sites/default/files/img/sef_-_ii_trim_2026_msi.pdf
sanisidro_transparencia/situacion_economico_financiera/sef_-_iii_trim_2024_msi.pdf       310453  https://www.sanisidro.gob.ar/sites/default/files/img/sef_-_iii_trim_2024_msi.pdf
sanisidro_transparencia/situacion_economico_financiera/sef_-_iii_trim_2025_msi.pdf       292757  https://www.sanisidro.gob.ar/sites/default/files/img/sef_-_iii_trim_2025_msi.pdf
sanisidro_transparencia/situacion_economico_financiera/sef_msi_-_2024.pdf       315476  https://www.sanisidro.gob.ar/sites/default/files/img/sef_msi_-_2024.pdf
sanisidro_transparencia/situacion_economico_financiera/situacion_economico_financiera_2025_anual.pdf       125701  https://www.sanisidro.gob.ar/sites/default/files/img/situacion_economico_financiera_2025_anual.pdf
sanisidro_transparencia/situacion_economico_financiera/situacion_economico_financiera_2026_i_trimestre.pdf       257533  https://www.sanisidro.gob.ar/sites/default/files/img/situacion_economico_financiera_2026_i_trimestre.pdf
sanisidro_transparencia/situacion_economico_financiera/situacioneconomica30-12-10.pdf      1080219  https://www.sanisidro.gob.ar/sites/default/files/img/situacioneconomica30-12-10.pdf
