expediente,anio,bloque,tipo_proyecto,tema
98-HCD-2024,2024,la libertad avanza san isidro,comunicacion,"s/ la instalacion de un semaforo con tiempo diferenciado en la interseccion de las calles thames y gral. lamadrid, de este partido.-"
99-HCD-2024,2024,varios senores concejales,comunicacion,"s/ la reparacion de la luminaria ubicada en la interseccion de las calles neuquen y o´ higgins, de la ciudad de san isidro.-"
101-HCD-2024,2024,varios senores concejales,ordenanza,instalando una escultura con la imagen de carlos fuentealba en la plaza maestro santana en la rotonda de acassuso.-
102-HCD-2024,2024,varios senores concejales,resolucion,"el h.c.d. expresa su repudio por la eliminacion de la celebracion del ""20 de noviembre - dia de la soberania nacional"".-"
103-HCD-2024,2024,varios senores concejales,resolucion,"el h.c.d. manifiesta su preocupacion ante las aseveraciones del sr. presidente de la nacion y el diputado nacional jose luis espert, por la convocacion a un acto de ""rebelion fiscal"" en la provincia de bs. as.-"
104-HCD-2024,2024,varios senores concejales,resolucion,el h.c.d. repudia los despidos de los trabajadores de las unidades de atencion integral (udai) de boulogne y san isidro.-
105-HCD-2024,2024,union por la patria,resolucion,"el h.c.d. expresa su repudio al cierre del instituto nacional de la agricultura familiar, campesina e indigena y al consejo nacional de agricultura familiar.-"
106-HCD-2024,2024,union por la patria,comunicacion,el h.c.d. manifiesta su preocupacion por el recorte en el presupuesto destinado al plan nacional de prevencion del embarazo no intencional (enia).-
107-HCD-2024,2024,union por la patria,comunicacion,s/ evaluar la implementacion de talleres extraprogramaticos en las escuelas del municipio.-
108-HCD-2024,2024,union por la patria,resolucion,el h.c.d. expresa su repudio al cierre de la agencia nacional de discapacidad (andis).-
109-HCD-2024,2024,varios senores concejales,comunicacion,"s/ garantizar el cumplimiento de la comunicacion sancionada en relacion a la plaza ""12 de octubre"" de la ciudad de beccar.-"
110-HCD-2024,2024,union por la patria,comunicacion,s/ un relevamiento de la situacion y la campana de desratizacion y control de plagas en el distrito.-
111-HCD-2024,2024,varios senores concejales,comunicacion,s/ un informe relacionado al servicio de agua potable en el barrio la cava.-
112-HCD-2024,2024,la libertad avanza,comunicacion,"s/ se realicen los trabajos de bacheo correspondientes en la calle bolivar entre elortondo y lasalle, de la ciudad de beccar.-"
113-HCD-2024,2024,la libertad avanza,ordenanza,creando el programa de asistencia al deporte infantil.-
114-HCD-2024,2024,la libertad avanza,ordenanza,creando el centro municipal de rehabilitacion y estimulacion para el vecino con discapacidad.-
115-HCD-2024,2024,la libertad avanza,comunicacion,s/ un informe relacionado con el sistema de camaras de monitoreo.-
116-HCD-2024,2024,la libertad avanza,comunicacion,s/ un informe relacionado con la secretaria de seguridad del municipio.-
117-HCD-2024,2024,la libertad avanza,comunicacion,"s/ la reparacion de luminarias en la calle bomberos voluntarios entre lamadrid y gorriti, de la ciudad de boulogne.-"
118-HCD-2024,2024,la libertad avanza,comunicacion,"s/ la clausura de demolicion en el terreno situado en la calle elcano 1850, de la ciudad de martinez.-"
119-HCD-2024,2024,la libertad avanza,comunicacion,"s/ la reparacion de luminarias en las calles bolivar y lasalle, entre la av. centenario y ayacucho, de la ciudad de beccar.-.-"
120-HCD-2024,2024,varios senores concejales,ordenanza,"conformando una mesa de trabajo con el objetivo de debatir sobre la aplicacion de los fondos recibidos para refaccionar, acondicionar y construir nuevas escuelas.-"
121-HCD-2024,2024,varios senores concejales,resolucion,el h.c.d. expresa su preocupacion por la situacion presupuestaria que atraviesan las universidades nacionales.-
122-HCD-2024,2024,union por la patria,resolucion,el h.c.d. manifiesta su repudio y preocupacion por el desfinanciamiento del sistema de salud nacional.-
123-HCD-2024,2024,varios senores concejales,ordenanza,"incorporando al sistema integral de movilidad sustentable, estacionamientos de bicicletas, en todo el territorio del municipio.-"
124-HCD-2024,2024,union por la patria,ordenanza,"preservando, conservando y recuperando, incrementando y mejorando el arbolado del distrito.-"
125-HCD-2024,2024,varios senores concejales,ordenanza,"incorporando al sistema integral de movilidad sustentable, la colocacion de totems de inflado y reparacion de bicicletas en puntos estrategicos del municipio.-"
126-HCD-2024,2024,varios senores concejales,comunicacion,s/ un informe sobre el funcionamiento del area de salud mental del hospital central de san isidro.-
129-HCD-2024,2024,la libertad avanza lffire,comunicacion,si informar el estado del tramite correspondiente al n° 4535/2023.-
130-HCD-2024,2024,varios senores concejales,comunicacion,"si la implementacion de medidas de seguridad vial en la interseccion de la calle jorge newbery, entre las calles tomkinson e intendente neyer, del barrio ""la cava"", de este partido.-"
131-HCD-2024,2024,varios senores concejales,comunicacion,"si el mantenimiento y saneamiento de las cloacas ubicadas en los pasillos del barrio uruguay, de la ciudad de beccar.-"
132-HCD-2024,2024,varios senores concejales,comunicacion,si implementar un protocolo de fumigacion en las instalaciones de los clubes de barrios y campos deportivos del distrito.-
133-HCD-2024,2024,varios senores concejales,comunicacion,"si realizar tareas de fumigacion, descacharreo y desmalezamiento intradomiciliario en todo el municipio.-"
134-HCD-2024,2024,varios senores concejales,ordenanza,creando el registro unico de mascotas extraviadas del municipio de san isidro.-
135-HCD-2024,2024,varios senores concejales,ordenanza,estableciendo la normativa aplicable en el partido de san isidro a la registracion de la propiedad de perros.-
137-HCD-2024,2024,union por la patria,comunicacion,si informes referentes al desfinanciamiento del plan enia por parte del gobierno nacional.-
138-HCD-2024,2024,union por la patria,comunicacion,si la posibilidad de actualizar el sitio web de san isidro.-
139-HCD-2024,2024,union por la patria,comunicacion,"si garantizar la instalacion de luminarias en la interseccion de las calles blandengues y cno. real moron, de la ciudad de boulogne.-"
140-HCD-2024,2024,union por la patria,ordenanza,creando el observatorio de la seguridad publica en el municipio de san isidro.-
142-HCD-2024,2024,varios senores concejales,comunicacion,si un pedido de informe referente a comedores y merenderos del municipio de san isidro.-
146-HCD-2024,2024,varios senores concejales,resolucion,"el h.c.d. expresa su preocupacion por los dichos del portavoz presidencial, sobre el proyecto que enviara el poder ejecutivo con reformas de la ley de educacion nacional.-"
147-HCD-2024,2024,varios senores concejales,resolucion,el h.c.d. expresa eu preocupacion por los dichos del diputado nacional alberto benegas lynch.-
