expediente,anio,bloque,tipo_proyecto,tema
697-HCD-2018,2018,convocacion por san isidro,comunicacion,si la actualizacion de la publicacion de boletines oficiales.-
698-HCD-2018,2018,convocacion por san isidro,comunicacion,si evaluar la modificacion de los sentidos de circulacion de diversas calles del partido.-
701-HCD-2018,2018,convocacion por san isidro,comunicacion,si considerar la creacion del paseo regional de la costa.-
702-HCD-2018,2018,convocacion por san isidro,resolucion,el h.cd. declara personalidad destacada del partido a] sr. ronald david scott.-
705-HCD-2018,2018,convocacion por san isidro,comunicacion,"si ]a instalacion de camaras de seguridad y lummanas led de baja altura, en el barrio eugenio blanco, del partido de san isidro.-"
708-HCD-2018,2018,unidad ciudadana,comunicacion,"si la instalacion :ie un semaforo en la interseccion de la calle posadas y la avda. andres rolon, de la ciudad de beccar.-"
709-HCD-2018,2018,convocacion por san isidro,comunicacion,"si inipectores de transito en el horario de ingreso y egreso del colegio ""holy cross"", de este partido.-"
711-HCD-2018,2018,convocacion por san isidro,decreto,estableciendo un mecanismo de implementacion de las visitas escolares al h.c.d. que garantice la pluralidad y representacion de los distintos bloques politicos de estacasa.-
712-HCD-2018,2018,convocacion por san isidro,comunicacion,"si le inspeccion y reparacion de las luminarias publicas de la calle udaondo, entre las calles roma y madame curie, de la ciudad de beccar.-"
713-HCD-2018,2018,convocacion por san isidro,comunicacion,"si la instalacion de un semaforo vehicular y peatonal sobre la avda. andres rolon en su interseccion con la calle posadas, de la ciudad de beccar.-"
714-HCD-2018,2018,convocacion por san isidro,comunicacion,"si la puesta en valor de la plaza ""la tahona""', de la ciudad de san isid ro.-"
715-HCD-2018,2018,convocacion por san isidro,comunicacion,"si realizar la repavimentacion y bacheo dentro de la zona comprendida por las avda~;. aleorta y ader, de la ciudad de villa adelina.-"
716-HCD-2018,2018,convocacion por san isidro,comunicacjon,"si cunal"":¡s de seguridad en diversas calles de la ciudad de villa adelina.- fase a : ] 15 - expte. nº 717-hcd-2018.- bloque convocacion por san isidro.- proyecto de comunicacion.- si informes sobre el eslogan ""posse s1"".-"
724-HCD-2018,2018,unidad ciudadana,decreto,"el hcd. declara de interes el libro ""el otro belgrano lejos del mito, cerca de una vision"".-"
725-HCD-2018,2018,unidad ciudadana,comunicacion,"s! efectuar releva miento, inspeccion y extraccion del arbol sito en la calle jose m. verduga nº 837, de la ciudad de villa adelina.-"
726-HCD-2018,2018,unidad ciudadana,decreto,"creando el ""programa de consolidacion democratica y participacion ciudadana, para adultos, banca 25-adultos"".-"
727-HCD-2018,2018,unidad ciudadana,resolucion,"el hcd. manifiesta su beneplacito por la labor llevada adelante por toda la comunidad educativa de la escuela secundaria especializada en arte nº 1, ex polivalente de arte.-"
731-HCD-2018,2018,frente renovador,ordenanza,"disponiendo en todos los bares ylo locales publicos bailables un cartel en los banos que indique la 'jalabra calve, de deberan decir en caso de sentirse acosadas, expuestas o incomodas por alguien.-"
732-HCD-2018,2018,frente renovador,resolucion,el h.cd. expresa su beneplacito por el fallo ejemplificador a las maestras del jardin de infantes tribilb.-
733-HCD-2018,2018,frente renovador,ordenanza,"creando el ""programa de prevencion y sancion de la violencia laboral"" en el ambito municipal.-"
734-HCD-2018,2018,frente renovador,comunicacion,"si la construccion y habilitacion nuevas darsenas sobre la avda. diego carman, entre las avdas. marquez y la rotonda de la unidad nacional, de la ciudad de san isidro.-"
735-HCD-2018,2018,frente renovador,comunicacion,si reforzar los mecanismos de control a todos los jardines de infantes del municipio.-
736-HCD-2018,2018,frente renovador,comunicacion,"si realizar obras de infraestructuras en la calle gral. guido al 2300, de la ciudad de beccar.-."
737-HCD-2018,2018,partido justicialista,comunicacion,si a la subsecretaria gral. de espacios piiblicos los estudios y criterios que utilizan para la distribucion de los contenedores de residuos en el distrito.-
738-HCD-2018,2018,partido justicialista,comunicacion,"si la colocacion de camaras de seguridad en la calle nuestras malvinas, entre las calles capitan juan de san martin y gregaria matorras, de la ciudad de boulogne.-"
740-HCD-2018,2018,partido justicialista,comunicacion,si la creacion de la comision ad-boc sobre la historia de san isidro.-
745-HCD-2018,2018,pro san isidro - cambiemos,comunicacion,"si la cr~acion de un calendario de excursiones y visitas para que se puedan conocer espacios de interes historico, cultural, social, ambiental y de esparcimiento.-"
