anio,bloque,concepto,monto_pesos,fuente,confianza,coef_deflactor,base_coef,monto_constante_dic2025,monto_pesos_const_dic2025
2015,gastos_caracter,Aplicaciones financieras,252041427.05,Rendicion MSI 2015 (OCR),alta - suma cuadra,154.14421375,"anual 2015, promedio de 12 meses ponderado por dias",38850727605.05,38850727605.05
2015,gastos_objeto,Recursos humanos (personal),988461496.51,Rendicion MSI 2015 (OCR),alta - suma cuadra,154.14421375,"anual 2015, promedio de 12 meses ponderado por dias",152365620201.68,152365620201.68
2015,gastos_objeto,Bienes de consumo,269142044.43,Rendicion MSI 2015 (OCR),alta - suma cuadra,154.14421375,"anual 2015, promedio de 12 meses ponderado por dias",41486688825.73,41486688825.73
2015,gastos_objeto,Servicios no personales,1000662180.18,Rendicion MSI 2015 (OCR),alta - suma cuadra,154.14421375,"anual 2015, promedio de 12 meses ponderado por dias",154246284993.21,154246284993.21
2015,gastos_objeto,Bienes de uso,116839746.67,Rendicion MSI 2015 (OCR),alta - suma cuadra,154.14421375,"anual 2015, promedio de 12 meses ponderado por dias",18010170885.20,18010170885.20
2015,gastos_objeto,Transferencias,175660412.97,Rendicion MSI 2015 (OCR),alta - suma cuadra,154.14421375,"anual 2015, promedio de 12 meses ponderado por dias",27077036244.26,27077036244.26
2015,gastos_objeto,Servicio de la deuda y disminucion de otros pasivos,252041427.05,Rendicion MSI 2015 (OCR),alta - suma cuadra,154.14421375,"anual 2015, promedio de 12 meses ponderado por dias",38850727605.05,38850727605.05
2015,resultado,Desahorro corriente,-76862866.07,Fallo HTC 3-109.0-2015 (OCR),alta,154.14421375,"anual 2015, promedio de 12 meses ponderado por dias",-11847966056.93,-11847966056.93
2015,resultado,Resultado financiero,-192876457.35,Fallo HTC 3-109.0-2015 (OCR),alta,154.14421375,"anual 2015, promedio de 12 meses ponderado por dias",-29730789869.10,-29730789869.10
2015,resultado,Resultado ejecutado (art. 44 Dto 2980/2000),-412448012.39,Fallo HTC 3-109.0-2015 (OCR),alta,154.14421375,"anual 2015, promedio de 12 meses ponderado por dias",-63576474582.61,-63576474582.61
2015,resultado,Resultado art. 26 Dto 2980/2000,-458739315.32,Fallo HTC 3-109.0-2015 (OCR),alta,154.14421375,"anual 2015, promedio de 12 meses ponderado por dias",-70712011076.21,-70712011076.21
2015,resultado,Resultado del Ejercicio (balance general),189800074.90,Fallo HTC 3-109.0-2015 (OCR),alta,154.14421375,"anual 2015, promedio de 12 meses ponderado por dias",29256583315.15,29256583315.15
2016,recursos_total,Recaudacion en rubros de calculo,3532407751.98,Fallo HTC 3-109.0-2016 (OCR),alta,110.96363183,"anual 2016, promedio de 12 meses ponderado por dias",391968793264.15,391968793264.15
2016,recursos_origen,Libre disponibilidad,3141362891.60,Fallo HTC 3-109.0-2016 (OCR),alta - suma cuadra,110.96363183,"anual 2016, promedio de 12 meses ponderado por dias",348577035347.93,348577035347.93
2016,recursos_origen,Con afectacion de origen municipal,44220513.10,Fallo HTC 3-109.0-2016 (OCR),alta - suma cuadra,110.96363183,"anual 2016, promedio de 12 meses ponderado por dias",4906868734.96,4906868734.96
2016,recursos_origen,Con afectacion de origen provincial,334352446.70,Fallo HTC 3-109.0-2016 (OCR),alta - suma cuadra,110.96363183,"anual 2016, promedio de 12 meses ponderado por dias",37100961797.08,37100961797.08
2016,recursos_origen,Con afectacion de origen nacional,12471900.58,Fallo HTC 3-109.0-2016 (OCR),alta - suma cuadra,110.96363183,"anual 2016, promedio de 12 meses ponderado por dias",1383927384.18,1383927384.18
2016,gastos_total,Gastos con imputacion al presupuesto,3832062816.94,Fallo HTC 3-109.0-2016 + lamina en Rendicion MSI 2017,alta - coincide en 2 fuentes,110.96363183,"anual 2016, promedio de 12 meses ponderado por dias",425219607568.36,425219607568.36
2016,gastos_objeto,Recursos humanos (personal),1345703758.84,Lamina Gastos por Objeto incluida por error en Rendicion MSI 2017,alta - suma cuadra con total HTC 2016,110.96363183,"anual 2016, promedio de 12 meses ponderado por dias",149324176448.17,149324176448.17
2016,gastos_objeto,Bienes de consumo,293788693.96,Lamina en Rendicion MSI 2017,alta - suma cuadra,110.96363183,"anual 2016, promedio de 12 meses ponderado por dias",32599860472.39,32599860472.39
2016,gastos_objeto,Servicios no personales,1349277631.42,Lamina en Rendicion MSI 2017,alta - suma cuadra,110.96363183,"anual 2016, promedio de 12 meses ponderado por dias",149720746329.34,149720746329.34
2016,gastos_objeto,Bienes de uso,106072961.52,Lamina en Rendicion MSI 2017,alta - suma cuadra,110.96363183,"anual 2016, promedio de 12 meses ponderado por dias",11770241049.22,11770241049.22
2016,gastos_objeto,Transferencias,254022211.42,Lamina en Rendicion MSI 2017,alta - suma cuadra,110.96363183,"anual 2016, promedio de 12 meses ponderado por dias",28187227144.65,28187227144.65
2016,gastos_objeto,Servicio de la deuda y disminucion de otros pasivos,483197559.78,Lamina en Rendicion MSI 2017,alta - suma cuadra,110.96363183,"anual 2016, promedio de 12 meses ponderado por dias",53617356124.58,53617356124.58
2016,resultado,Ahorro corriente,285516631.15,Fallo HTC 3-109.0-2016 (OCR),alta,110.96363183,"anual 2016, promedio de 12 meses ponderado por dias",31681962340.27,31681962340.27
2016,resultado,Resultado financiero,183542494.82,Fallo HTC 3-109.0-2016 (OCR),alta - verificado a ojo sobre el PDF y por identidad RF = aplicaciones - fuentes,110.96363183,"anual 2016, promedio de 12 meses ponderado por dias",20366541820.37,20366541820.37
2016,resultado,Fuentes financieras,483027104.50,Fallo HTC 3-109.0-2016 (OCR),alta,110.96363183,"anual 2016, promedio de 12 meses ponderado por dias",53598441787.65,53598441787.65
2016,resultado,Aplicaciones financieras,666569599.32,Fallo HTC 3-109.0-2016 (OCR),alta,110.96363183,"anual 2016, promedio de 12 meses ponderado por dias",73964983608.02,73964983608.02
2016,resultado,Resultado ejecutado (art. 44),-231308467.16,Fallo HTC 3-109.0-2016 (OCR),alta,110.96363183,"anual 2016, promedio de 12 meses ponderado por dias",-25666827589.10,-25666827589.10
2016,resultado,Resultado art. 26,-415991200.00,Fallo HTC 3-109.0-2016 (OCR),alta,110.96363183,"anual 2016, promedio de 12 meses ponderado por dias",-46159894361.32,-46159894361.32
2016,resultado,Resultado del Ejercicio (balance general),634784642.55,Fallo HTC 3-109.0-2016 (OCR),alta,110.96363183,"anual 2016, promedio de 12 meses ponderado por dias",70438009367.26,70438009367.26
2017,recursos_total,Recaudacion en rubros de calculo,4870607774.06,Fallo HTC 3-109.0-2017 + Rendicion MSI,alta - coincide en 2 fuentes,89.61622996,"anual 2017, promedio de 12 meses ponderado por dias",436485506325.12,436485506325.12
2017,recursos_origen,Origen municipal,2971248683.74,Rendicion MSI 2017 (OCR),alta - suma cuadra,89.61622996,"anual 2017, promedio de 12 meses ponderado por dias",266272105310.39,266272105310.39
2017,recursos_origen,Origen provincial,1782417383.91,Rendicion MSI 2017 (OCR),alta - suma cuadra,89.61622996,"anual 2017, promedio de 12 meses ponderado por dias",159733526161.18,159733526161.18
2017,recursos_origen,Origen nacional,23846969.18,Rendicion MSI 2017 (OCR),alta - suma cuadra,89.61622996,"anual 2017, promedio de 12 meses ponderado por dias",2137075473.88,2137075473.88
2017,recursos_origen,Otros origenes,93094737.23,Rendicion MSI 2017 (OCR),alta - suma cuadra,89.61622996,"anual 2017, promedio de 12 meses ponderado por dias",8342799379.67,8342799379.67
2017,recursos_caracter,Recursos corrientes,4867387417.48,Rendicion MSI 2017 (OCR),alta,89.61622996,"anual 2017, promedio de 12 meses ponderado por dias",436196910109.30,436196910109.30
2017,recursos_caracter,Recursos de capital,3220356.58,Rendicion MSI 2017 (OCR),alta,89.61622996,"anual 2017, promedio de 12 meses ponderado por dias",288596215.83,288596215.83
2017,gastos_total,Gastos con imputacion al presupuesto,5632276720.79,Fallo HTC 3-109.0-2017 + Rendicion MSI,alta - coincide en 2 fuentes,89.61622996,"anual 2017, promedio de 12 meses ponderado por dias",504743405808.67,504743405808.67
2017,gastos_caracter,Gastos corrientes,4637081617.73,Rendicion MSI 2017 (OCR),alta - suma cuadra,89.61622996,"anual 2017, promedio de 12 meses ponderado por dias",415557772597.78,415557772597.78
2017,gastos_caracter,Gastos de capital,513107873.52,Rendicion MSI 2017 (OCR),alta - suma cuadra,89.61622996,"anual 2017, promedio de 12 meses ponderado por dias",45982793187.65,45982793187.65
2017,gastos_caracter,Aplicaciones financieras,482087229.54,Rendicion MSI 2017 (OCR),alta - suma cuadra,89.61622996,"anual 2017, promedio de 12 meses ponderado por dias",43202840023.24,43202840023.24
2017,gastos_objeto,Recursos humanos (personal),1871437954.22,Rendicion MSI 2017 grafico (OCR),alta - suma cuadra con total HTC,89.61622996,"anual 2017, promedio de 12 meses ponderado por dias",167711214061.25,167711214061.25
2017,gastos_objeto,Bienes de consumo,355047786.73,Rendicion MSI 2017 grafico (OCR),alta - suma cuadra,89.61622996,"anual 2017, promedio de 12 meses ponderado por dias",31818044102.38,31818044102.38
2017,gastos_objeto,Servicios no personales,1992276590.74,Rendicion MSI 2017 grafico (OCR),alta - suma cuadra,89.61622996,"anual 2017, promedio de 12 meses ponderado por dias",178540317099.68,178540317099.68
2017,gastos_objeto,Bienes de uso,510407874.22,Rendicion MSI 2017 grafico (OCR),alta - suma cuadra,89.61622996,"anual 2017, promedio de 12 meses ponderado por dias",45740829429.49,45740829429.49
2017,gastos_objeto,Transferencias,421019285.34,Rendicion MSI 2017 grafico (OCR),alta - suma cuadra,89.61622996,"anual 2017, promedio de 12 meses ponderado por dias",37730161092.62,37730161092.62
2017,gastos_objeto,Servicio de la deuda y disminucion de otros pasivos,482087229.54,Rendicion MSI 2017 grafico (OCR),alta - suma cuadra,89.61622996,"anual 2017, promedio de 12 meses ponderado por dias",43202840023.24,43202840023.24
2017,resultado,Ahorro corriente,230305799.75,Fallo HTC 3-109.0-2017 (OCR),alta,89.61622996,"anual 2017, promedio de 12 meses ponderado por dias",20639137511.52,20639137511.52
2017,resultado,Resultado financiero,-279581717.19,Fallo HTC 3-109.0-2017 (OCR),alta,89.61622996,"anual 2017, promedio de 12 meses ponderado por dias",-25055059460.31,-25055059460.31
2017,resultado,Resultado ejecutado (art. 44),-516382873.38,Fallo HTC 3-109.0-2017 (OCR),alta,89.61622996,"anual 2017, promedio de 12 meses ponderado por dias",-46276286328.23,-46276286328.23
2017,resultado,Resultado art. 26,-600420149.85,Fallo HTC 3-109.0-2017 (OCR),alta,89.61622996,"anual 2017, promedio de 12 meses ponderado por dias",-53807390221.58,-53807390221.58
2017,resultado,Resultado del Ejercicio (balance general),786760284.97,Fallo HTC 3-109.0-2017 (OCR),alta,89.61622996,"anual 2017, promedio de 12 meses ponderado por dias",70506490621.27,70506490621.27
2022,recursos_total,Recaudacion en rubros de calculo (HTC),33942866674.59,Fallo HTC 3-109.0-2022 (texto),alta,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",405539408117.77,405539408117.77
2022,recursos_total,Total recursos por origen (MSI),34130379003.31,Rendicion MSI 2022 (OCR),alta - difiere del HTC en 187512328.72,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",407779750382.70,407779750382.70
2022,recursos_origen,Origen municipal,22396678948.20,Rendicion MSI 2022 (OCR),alta - suma cuadra,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",267588946199.89,267588946199.89
2022,recursos_origen,Origen provincial,10613361075.19,Rendicion MSI 2022 (OCR),alta - suma cuadra,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",126805322892.63,126805322892.63
2022,recursos_origen,Origen nacional,681715327.76,Rendicion MSI 2022 (OCR),alta - suma cuadra,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",8144934638.99,8144934638.99
2022,recursos_origen,Otros origenes,438623652.16,Rendicion MSI 2022 (OCR),alta - suma cuadra,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",5240546651.19,5240546651.19
2022,recursos_caracter,Recursos corrientes,34130320555.84,Rendicion MSI 2022 (OCR),alta,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",407779052069.49,407779052069.49
2022,recursos_caracter,Recursos de capital,58447.47,Rendicion MSI 2022 (OCR),alta,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",698313.22,698313.22
2022,recursos_caracter,Fuentes financieras,0.00,Rendicion MSI 2022 (OCR),alta,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",0.00,0.00
2022,gastos_total,Gastos con imputacion al presupuesto,33280377868.83,Fallo HTC 3-109.0-2022 + Rendicion MSI,alta - coincide en 2 fuentes,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",397624186320.27,397624186320.27
2022,gastos_caracter,Gastos corrientes,28698450217.66,Rendicion MSI 2022 (OCR),alta - suma cuadra,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",342880659631.49,342880659631.49
2022,gastos_caracter,Gastos de capital,3306883640.16,Rendicion MSI 2022 (OCR),alta - suma cuadra,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",39509675096.15,39509675096.15
2022,gastos_caracter,Aplicaciones financieras,1275044011.01,Rendicion MSI 2022 (OCR),alta - suma cuadra,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",15233851592.63,15233851592.63
2022,gastos_objeto,Recursos humanos (personal),12207707299.81,Rendicion MSI 2022 (OCR),alta - suma cuadra,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",145854103611.88,145854103611.88
2022,gastos_objeto,Bienes de consumo,2694748161.75,Rendicion MSI 2022 (OCR),alta - suma cuadra,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",32196060074.11,32196060074.11
2022,gastos_objeto,Servicios no personales,12830634554.43,Rendicion MSI 2022 (OCR),alta - suma cuadra,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",153296655608.48,153296655608.48
2022,gastos_objeto,Bienes de uso,3299327314.44,Rendicion MSI 2022 (OCR),alta - suma cuadra,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",39419394334.38,39419394334.38
2022,gastos_objeto,Transferencias,972916527.39,Rendicion MSI 2022 (OCR),alta - suma cuadra,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",11624121098.80,11624121098.80
2022,gastos_objeto,Servicio de la deuda y disminucion de otros pasivos,1275044011.01,Rendicion MSI 2022 (OCR),alta - suma cuadra,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",15233851592.63,15233851592.63
2022,resultado,Ahorro corriente,5244358009.46,Fallo HTC 3-109.0-2022 (texto),alta,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",62658050173.07,62658050173.07
2022,resultado,Resultado financiero,1937532816.77,Fallo HTC 3-109.0-2022 (texto),alta,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",23149073390.14,23149073390.14
2022,resultado,Fuentes financieras,2138947977.46,Fallo HTC 3-109.0-2022 (texto),alta,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",25555522610.68,25555522610.68
2022,resultado,Aplicaciones financieras,4076480794.23,Fallo HTC 3-109.0-2022 (texto),alta,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",48704596000.82,48704596000.82
2022,resultado,Resultado ejecutado (art. 44),2140514413.29,Fallo HTC 3-109.0-2022 (texto),alta,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",25574237926.20,25574237926.20
2022,resultado,Resultado art. 26,-1430245803.26,Fallo HTC 3-109.0-2022 (texto),alta,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",-17088157051.60,-17088157051.60
2022,resultado,Resultado del Ejercicio (balance general),7137685456.26,Fallo HTC 3-109.0-2022 (texto),alta,11.94770648,"anual 2022, promedio de 12 meses ponderado por dias",85278970777.96,85278970777.96
