anio,tipo,familia,concepto_en_la_fuente,nivel,monto_nominal,monto_constante_dic2025,dataset,fuente
2011,ejecutado,gastos_por_objeto,servicio_de_la_deuda,componente,63561044.86,27545714850.15,data/rendiciones_2010_2021.csv,rendicionctas20111.pdf
2011,ejecutado,gastos_por_objeto,servicios_no_personales,componente,252975104.61,109632875153.67,data/rendiciones_2010_2021.csv,rendicionctas20111.pdf
2011,ejecutado,gastos_por_objeto,transferencias,componente,73478499.99,31843683702.80,data/rendiciones_2010_2021.csv,rendicionctas20111.pdf
2011,ejecutado,total_gastos,total_gastos,total,796736310.85,345284934786.28,data/rendiciones_2010_2021.csv,rendicionctas20111.pdf
2011,ejecutado,total_gastos_jurisdiccion,total_gastos_jurisdiccion,total,796736310.85,345284934786.28,data/rendiciones_2010_2021.csv,rendicionctas20111.pdf
2011,ejecutado,total_gastos_objeto,total_gastos_objeto,total,796736310.85,345284934786.28,data/rendiciones_2010_2021.csv,rendicionctas20111.pdf
2011,presupuestado,presupuesto_gastos_por_objeto,bienes_de_consumo,componente,38138000.00,16528023969.22,data/presupuesto_historico_2010_2026.csv,presupuesto2011.pdf
2011,presupuestado,presupuesto_gastos_por_objeto,bienes_de_uso,componente,32374500.00,14030271959.51,data/presupuesto_historico_2010_2026.csv,presupuesto2011.pdf
2011,presupuestado,presupuesto_gastos_por_objeto,gastos_en_personal,componente,287142307.00,124440058017.57,data/presupuesto_historico_2010_2026.csv,presupuesto2011.pdf
2011,presupuestado,presupuesto_gastos_por_objeto,servicio_de_la_deuda,componente,22977360.00,9957794242.74,data/presupuesto_historico_2010_2026.csv,presupuesto2011.pdf
2011,presupuestado,presupuesto_gastos_por_objeto,servicios_no_personales,componente,211681833.00,91737437979.79,data/presupuesto_historico_2010_2026.csv,presupuesto2011.pdf
2011,presupuestado,presupuesto_gastos_por_objeto,transferencias,componente,38240400.00,16572401483.89,data/presupuesto_historico_2010_2026.csv,presupuesto2011.pdf
2012,ejecutado,gastos_por_caracter,aplicaciones_financieras,componente,70082166.23,24554764799.16,data/rendiciones_2010_2021.csv,rendicionctas-2012_02.pdf
2012,ejecutado,gastos_por_caracter,gastos_corrientes,componente,856361738.99,300044393817.57,data/rendiciones_2010_2021.csv,rendicionctas-2012_02.pdf
2012,ejecutado,gastos_por_caracter,gastos_de_capital,componente,46358008.37,16242505808.79,data/rendiciones_2010_2021.csv,rendicionctas-2012_02.pdf
2012,ejecutado,gastos_por_jurisdiccion,"2. SUBSECRETARIA GRAL. DE INSP., REG. URB.Y TRANSITO",componente,103365330.51,36216223264.72,data/rendiciones_2010_2021.csv,rendicionctas-2012_02.pdf
2012,ejecutado,gastos_por_jurisdiccion,3. SECRETARIA DE INTEGRACION COMUNITARIA Y DE LA NINEZ ADOLESCENCIA Y FAMILIA,componente,163508813.02,57288760640.19,data/rendiciones_2010_2021.csv,rendicionctas-2012_02.pdf
2012,ejecutado,gastos_por_jurisdiccion,4. SECRETARIA DE OBRAS PUBLICAS,componente,71859845.44,25177612197.27,data/rendiciones_2010_2021.csv,rendicionctas-2012_02.pdf
2012,ejecutado,gastos_por_jurisdiccion,5. SUBSECRETARIA GRAL. DE ESPACIO PUBLICO,componente,198666545.96,69607013765.82,data/rendiciones_2010_2021.csv,rendicionctas-2012_02.pdf
2012,ejecutado,gastos_por_jurisdiccion,6. SECRETARIA DE SALUD PUBLICA,componente,257675232.83,90281951558.77,data/rendiciones_2010_2021.csv,rendicionctas-2012_02.pdf
2012,ejecutado,gastos_por_jurisdiccion,7. PARTIDAS NO ASIGNABLES A PROGRAMAS,componente,70082166.23,24554764799.16,data/rendiciones_2010_2021.csv,rendicionctas-2012_02.pdf
2012,ejecutado,gastos_por_jurisdiccion,8. HONORABLE CONCEJO DELIBERANTE,componente,20252022.75,7095723235.80,data/rendiciones_2010_2021.csv,rendicionctas-2012_02.pdf
2012,ejecutado,gastos_por_jurisdiccion,"GASTOS POR JURISDICCION JURISDICCION MONTO % 1. SEC. GRAL. DE GOB. Y ADM., PRIVADA, HACINEDA Y PROD",componente,87391956.85,30619614963.78,data/rendiciones_2010_2021.csv,rendicionctas-2012_02.pdf
2012,ejecutado,gastos_por_objeto,bienes_de_consumo,componente,66072984.54,23150063450.29,data/rendiciones_2010_2021.csv,rendicionctas-2012_02.pdf
2012,ejecutado,gastos_por_objeto,bienes_de_uso,componente,19052924.59,6675593909.42,data/rendiciones_2010_2021.csv,rendicionctas-2012_02.pdf
2012,ejecutado,gastos_por_objeto,recursos_humanos,componente,413329931.38,144818857570.44,data/rendiciones_2010_2021.csv,rendicionctas-2012_02.pdf
2012,ejecutado,gastos_por_objeto,servicio_de_la_deuda,componente,70082166.23,24554764799.16,data/rendiciones_2010_2021.csv,rendicionctas-2012_02.pdf
2012,ejecutado,gastos_por_objeto,servicios_no_personales,componente,324389623.54,113656745186.40,data/rendiciones_2010_2021.csv,rendicionctas-2012_02.pdf
2012,ejecutado,gastos_por_objeto,transferencias,componente,79874283.31,27985639509.80,data/rendiciones_2010_2021.csv,rendicionctas-2012_02.pdf
2012,ejecutado,total_gastos,total_gastos,total,972801913.59,340841664425.52,data/rendiciones_2010_2021.csv,rendicionctas-2012_02.pdf
2012,ejecutado,total_gastos_jurisdiccion,total_gastos_jurisdiccion,total,972801913.59,340841664425.52,data/rendiciones_2010_2021.csv,rendicionctas-2012_02.pdf
2012,ejecutado,total_gastos_objeto,total_gastos_objeto,total,972801913.59,340841664425.52,data/rendiciones_2010_2021.csv,rendicionctas-2012_02.pdf
2012,presupuestado,presupuesto_gastos_por_objeto,bienes_de_consumo,componente,50362200.00,17645458784.91,data/presupuesto_historico_2010_2026.csv,presupuesto2012municipalidaddesanisidro.pdf
2012,presupuestado,presupuesto_gastos_por_objeto,bienes_de_uso,componente,47541500.00,16657167058.28,data/presupuesto_historico_2010_2026.csv,presupuesto2012municipalidaddesanisidro.pdf
2012,presupuestado,presupuesto_gastos_por_objeto,gastos_en_personal,componente,403515393.00,141380127084.54,data/presupuesto_historico_2010_2026.csv,presupuesto2012municipalidaddesanisidro.pdf
2012,presupuestado,presupuesto_gastos_por_objeto,servicio_de_la_deuda,componente,81510100.00,28558782382.49,data/presupuesto_historico_2010_2026.csv,presupuesto2012municipalidaddesanisidro.pdf
2012,presupuestado,presupuesto_gastos_por_objeto,servicios_no_personales,componente,375273307.00,131484916698.32,data/presupuesto_historico_2010_2026.csv,presupuesto2012municipalidaddesanisidro.pdf
2012,presupuestado,presupuesto_gastos_por_objeto,transferencias,componente,87919000.00,30804275645.43,data/presupuesto_historico_2010_2026.csv,presupuesto2012municipalidaddesanisidro.pdf
2013,presupuestado,presupuesto_gastos_por_objeto,bienes_de_consumo,componente,90297500.00,25136557298.88,data/presupuesto_historico_2010_2026.csv,msipresupuesto2013v2.pdf
2013,presupuestado,presupuesto_gastos_por_objeto,bienes_de_uso,componente,41162000.00,11458467527.19,data/presupuesto_historico_2010_2026.csv,msipresupuesto2013v2.pdf
2013,presupuestado,presupuesto_gastos_por_objeto,gastos_en_personal,componente,469900000.00,130808364292.96,data/presupuesto_historico_2010_2026.csv,msipresupuesto2013v2.pdf
2013,presupuestado,presupuesto_gastos_por_objeto,servicio_de_la_deuda,componente,99484000.00,27693848293.94,data/presupuesto_historico_2010_2026.csv,msipresupuesto2013v2.pdf
2013,presupuestado,presupuesto_gastos_por_objeto,servicios_no_personales,componente,437532500.00,121798064801.04,data/presupuesto_historico_2010_2026.csv,msipresupuesto2013v2.pdf
2013,presupuestado,presupuesto_gastos_por_objeto,transferencias,componente,111014000.00,30903510861.07,data/presupuesto_historico_2010_2026.csv,msipresupuesto2013v2.pdf
2014,ejecutado,gastos_caracter,Aplicaciones financieras,componente,132117716.47,25776308731.80,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2014 (OCR) + SIMCo
2014,ejecutado,gastos_caracter,Gastos corrientes,componente,1703757584.86,332404939207.90,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2014 (OCR) + SIMCo
2014,ejecutado,gastos_caracter,Gastos de capital,componente,133032189.85,25954723472.83,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2014 (OCR) + SIMCo
2014,ejecutado,gastos_objeto,Bienes de consumo,componente,171626175.92,33484451708.46,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2014 (OCR)
2014,ejecutado,gastos_objeto,Bienes de uso,componente,83770947.31,16343802014.68,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2014 (OCR)
2014,ejecutado,gastos_objeto,Recursos humanos (personal),componente,712862278.43,139080198046.25,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2014 (OCR) + SIMCo
2014,ejecutado,gastos_objeto,Servicio de la deuda y disminucion de otros pasivos,componente,132117716.47,25776308731.80,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2014 (OCR)
2014,ejecutado,gastos_objeto,Servicios no personales,componente,701031526.09,136772005526.78,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2014 (OCR)
2014,ejecutado,gastos_objeto,Transferencias,componente,167498846.96,32679205384.55,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2014 (OCR)
2014,ejecutado,gastos_total,Gastos corrientes + de capital,total,1836789774.71,358359662680.74,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2014 + SIMCo
2014,ejecutado,gastos_total,Gastos ejecutados (incluye aplicaciones financieras),total,1968907491.18,384135971412.54,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2014 (OCR)
2015,ejecutado,gastos_caracter,Aplicaciones financieras,componente,252041427.05,38850727605.05,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2015 (OCR)
2015,ejecutado,gastos_caracter,Gastos corrientes,componente,2432915803.40,375019893635.04,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2015 (OCR)
2015,ejecutado,gastos_caracter,Gastos de capital,componente,117850077.36,18165907515.03,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2015 (OCR)
2015,ejecutado,gastos_objeto,Bienes de consumo,componente,269142044.43,41486688825.73,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2015 (OCR)
2015,ejecutado,gastos_objeto,Bienes de uso,componente,116839746.67,18010170885.20,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2015 (OCR)
2015,ejecutado,gastos_objeto,Recursos humanos (personal),componente,988461496.51,152365620201.68,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2015 (OCR)
2015,ejecutado,gastos_objeto,Servicio de la deuda y disminucion de otros pasivos,componente,252041427.05,38850727605.05,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2015 (OCR)
2015,ejecutado,gastos_objeto,Servicios no personales,componente,1000662180.18,154246284993.21,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2015 (OCR)
2015,ejecutado,gastos_objeto,Transferencias,componente,175660412.97,27077036244.26,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2015 (OCR)
2015,ejecutado,gastos_total,Gastos con imputacion al presupuesto (HTC),total,2802816043.81,432037875358.98,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Fallo HTC 3-109.0-2015 (OCR)
2015,ejecutado,gastos_total,Gastos con imputacion al presupuesto (MSI),total,2802807307.81,432036528755.13,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2015 (OCR)
2016,ejecutado,gastos_objeto,Bienes de consumo,componente,293788693.96,32599860472.39,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Lamina en Rendicion MSI 2017
2016,ejecutado,gastos_objeto,Bienes de uso,componente,106072961.52,11770241049.22,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Lamina en Rendicion MSI 2017
2016,ejecutado,gastos_objeto,Recursos humanos (personal),componente,1345703758.84,149324176448.17,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Lamina Gastos por Objeto incluida por error en Rendicion MSI 2017
2016,ejecutado,gastos_objeto,Servicio de la deuda y disminucion de otros pasivos,componente,483197559.78,53617356124.58,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Lamina en Rendicion MSI 2017
2016,ejecutado,gastos_objeto,Servicios no personales,componente,1349277631.42,149720746329.34,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Lamina en Rendicion MSI 2017
2016,ejecutado,gastos_objeto,Transferencias,componente,254022211.42,28187227144.65,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Lamina en Rendicion MSI 2017
2016,ejecutado,gastos_total,Gastos con imputacion al presupuesto,total,3832062816.94,425219607568.36,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Fallo HTC 3-109.0-2016 + lamina en Rendicion MSI 2017
2017,ejecutado,gastos_caracter,Aplicaciones financieras,componente,482087229.54,43202840023.24,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2017 (OCR)
2017,ejecutado,gastos_caracter,Gastos corrientes,componente,4637081617.73,415557772597.78,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2017 (OCR)
2017,ejecutado,gastos_caracter,Gastos de capital,componente,513107873.52,45982793187.65,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2017 (OCR)
2017,ejecutado,gastos_objeto,Bienes de consumo,componente,355047786.73,31818044102.38,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2017 grafico (OCR)
2017,ejecutado,gastos_objeto,Bienes de uso,componente,510407874.22,45740829429.49,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2017 grafico (OCR)
2017,ejecutado,gastos_objeto,Recursos humanos (personal),componente,1871437954.22,167711214061.25,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2017 grafico (OCR)
2017,ejecutado,gastos_objeto,Servicio de la deuda y disminucion de otros pasivos,componente,482087229.54,43202840023.24,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2017 grafico (OCR)
2017,ejecutado,gastos_objeto,Servicios no personales,componente,1992276590.74,178540317099.68,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2017 grafico (OCR)
2017,ejecutado,gastos_objeto,Transferencias,componente,421019285.34,37730161092.62,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Rendicion MSI 2017 grafico (OCR)
2017,ejecutado,gastos_total,Gastos con imputacion al presupuesto,total,5632276720.79,504743405808.67,SanIsidro_datos_fiscales/DATOS_SanIsidro_2014-2022.csv,Fallo HTC 3-109.0-2017 + Rendicion MSI
2018,presupuestado,presupuesto_gastos_por_objeto,bienes_de_consumo,componente,458736490.00,30606039133.29,data/presupuesto_historico_2010_2026.csv,_presupuesto2018.pdf.pdf
2018,presupuestado,presupuesto_gastos_por_objeto,bienes_de_uso,componente,388169080.00,25897913751.78,data/presupuesto_historico_2010_2026.csv,_presupuesto2018.pdf.pdf
2018,presupuestado,presupuesto_gastos_por_objeto,gastos_en_personal,componente,1917956547.00,127962467370.81,data/presupuesto_historico_2010_2026.csv,_presupuesto2018.pdf.pdf
2018,presupuestado,presupuesto_gastos_por_objeto,servicio_de_la_deuda,componente,578000003.00,38563077270.91,data/presupuesto_historico_2010_2026.csv,_presupuesto2018.pdf.pdf
2018,presupuestado,presupuesto_gastos_por_objeto,servicios_no_personales,componente,2174919800.00,145106574169.76,data/presupuesto_historico_2010_2026.csv,_presupuesto2018.pdf.pdf
2018,presupuestado,presupuesto_gastos_por_objeto,transferencias,componente,481171000.00,32102827607.64,data/presupuesto_historico_2010_2026.csv,_presupuesto2018.pdf.pdf
2019,ejecutado,gastos_por_caracter,aplicaciones_financieras,componente,522485383.02,22701065652.15,data/rendiciones_2010_2021.csv,informe_arsi_rendicion_de_cuentas_2019.pdf
2019,ejecutado,gastos_por_caracter,gastos_corrientes,componente,8663279637.06,376404175495.01,data/rendiciones_2010_2021.csv,informe_arsi_rendicion_de_cuentas_2019.pdf
2019,ejecutado,gastos_por_caracter,gastos_de_capital,componente,994625951.22,43214738156.83,data/rendiciones_2010_2021.csv,informe_arsi_rendicion_de_cuentas_2019.pdf
2019,ejecutado,total_gastos,total_gastos,total,9657905588.28,419618913651.83,data/rendiciones_2010_2021.csv,informe_arsi_rendicion_de_cuentas_2019.pdf
2019,presupuestado,presupuesto_gastos_por_objeto,bienes_de_consumo,componente,598464400.00,26002219538.37,data/presupuesto_historico_2010_2026.csv,informe_arsi_presupuesto_2019.pdf
2019,presupuestado,presupuesto_gastos_por_objeto,bienes_de_uso,componente,584867000.00,25411436561.22,data/presupuesto_historico_2010_2026.csv,informe_arsi_presupuesto_2019.pdf
2019,presupuestado,presupuesto_gastos_por_objeto,gastos_en_personal,componente,3386909852.00,147155241862.96,data/presupuesto_historico_2010_2026.csv,informe_arsi_presupuesto_2019.pdf
2019,presupuestado,presupuesto_gastos_por_objeto,servicio_de_la_deuda,componente,704300000.00,30600589142.60,data/presupuesto_historico_2010_2026.csv,informe_arsi_presupuesto_2019.pdf
2019,presupuestado,presupuesto_gastos_por_objeto,servicios_no_personales,componente,2797154748.00,121531425829.65,data/presupuesto_historico_2010_2026.csv,informe_arsi_presupuesto_2019.pdf
2019,presupuestado,presupuesto_gastos_por_objeto,transferencias,componente,507387000.00,22045067617.91,data/presupuesto_historico_2010_2026.csv,informe_arsi_presupuesto_2019.pdf
2020,ejecutado,gastos_por_caracter,aplicaciones_financieras,componente,1363604388.55,41739777937.09,data/rendiciones_2010_2021.csv,informe_arsi_rendicion_de_cuentas_2020.pdf
2020,ejecutado,gastos_por_caracter,gastos_corrientes,componente,11677976987.83,357461570466.77,data/rendiciones_2010_2021.csv,informe_arsi_rendicion_de_cuentas_2020.pdf
2020,ejecutado,gastos_por_caracter,gastos_de_capital,componente,607223751.10,18587051157.84,data/rendiciones_2010_2021.csv,informe_arsi_rendicion_de_cuentas_2020.pdf
2020,ejecutado,total_gastos,total_gastos,total,12285200738.93,376048621624.61,data/rendiciones_2010_2021.csv,informe_arsi_rendicion_de_cuentas_2020.pdf
2020,presupuestado,presupuesto_gastos_por_objeto,bienes_de_consumo,componente,1722062500.00,52712140667.30,data/presupuesto_historico_2010_2026.csv,informe_arsi_presupuesto_2020.pdf
2020,presupuestado,presupuesto_gastos_por_objeto,bienes_de_uso,componente,1103666200.00,33783099036.27,data/presupuesto_historico_2010_2026.csv,informe_arsi_presupuesto_2020.pdf
2020,presupuestado,presupuesto_gastos_por_objeto,gastos_en_personal,componente,5427255884.00,166127696059.12,data/presupuesto_historico_2010_2026.csv,informe_arsi_presupuesto_2020.pdf
2020,presupuestado,presupuesto_gastos_por_objeto,servicio_de_la_deuda,componente,1436772000.00,43979430346.36,data/presupuesto_historico_2010_2026.csv,informe_arsi_presupuesto_2020.pdf
2020,presupuestado,presupuesto_gastos_por_objeto,servicios_no_personales,componente,7184102883.00,219904586353.29,data/presupuesto_historico_2010_2026.csv,informe_arsi_presupuesto_2020.pdf
2020,presupuestado,presupuesto_gastos_por_objeto,transferencias,componente,717346000.00,21957880889.41,data/presupuesto_historico_2010_2026.csv,informe_arsi_presupuesto_2020.pdf
2021,ejecutado,gastos_por_caracter,aplicaciones_financieras,componente,2506380037.20,51666814090.32,data/rendiciones_2010_2021.csv,informe_arsi_rendicion_de_cuentas_2021.pdf
2021,ejecutado,gastos_por_caracter,gastos_corrientes,componente,16682873856.02,343902731915.40,data/rendiciones_2010_2021.csv,informe_arsi_rendicion_de_cuentas_2021.pdf
2021,ejecutado,gastos_por_caracter,gastos_de_capital,componente,1244256073.70,25649241649.89,data/rendiciones_2010_2021.csv,informe_arsi_rendicion_de_cuentas_2021.pdf
2021,ejecutado,total_gastos,total_gastos,total,17927129929.72,369551973565.29,data/rendiciones_2010_2021.csv,informe_arsi_rendicion_de_cuentas_2021.pdf
2021,presupuestado,presupuesto_gastos_por_objeto,bienes_de_consumo,componente,2867332200.00,59107524602.73,data/presupuesto_historico_2010_2026.csv,informe_arsi_presupuesto_2021.pdf
2021,presupuestado,presupuesto_gastos_por_objeto,bienes_de_uso,componente,1173347000.00,24187513630.28,data/presupuesto_historico_2010_2026.csv,informe_arsi_presupuesto_2021.pdf
2021,presupuestado,presupuesto_gastos_por_objeto,gastos_en_personal,componente,6970700193.00,143694837018.19,data/presupuesto_historico_2010_2026.csv,informe_arsi_presupuesto_2021.pdf
2021,presupuestado,presupuesto_gastos_por_objeto,servicio_de_la_deuda,componente,1963485000.00,40475511677.58,data/presupuesto_historico_2010_2026.csv,informe_arsi_presupuesto_2021.pdf
