anio,bloque,orden,concepto,medida,monto,fuente
2024,gastos_por_programa,1.1.1.01.03.000 - 59,INSTITUTO FORMACION Y DOCENCIA SEG.URBAN,devengado,16899437.66,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.03.000 - 64,DEFENSA CIVIL,devengado,184953598.93,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.06.000 - 21,PROMOCION DE LA EDUCACION,devengado,3575116495.01,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.06.000 - 22,CULTURA Y CIUDAD,devengado,1664450920.08,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.06.000 - 23,PROMOCION DEL DEPORTE,devengado,3791693402.07,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.06.000 - 32,DESARROLLO HUMANO Y SOCIAL,devengado,1734849559.87,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.06.000 - 33,FONDO DE FORTALECIMIENTO SOCIAL,devengado,447255517.38,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.06.000 - 37,AYUDA A INDIGENTES,devengado,3349447.04,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.06.000 - 38,AYUDA SOCIAL A PERSONAS,devengado,1481861809.96,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.06.000 - 39,EDUCACION AMBIENTAL,devengado,128093342.30,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.06.000 - 48,ATENCION A MENORES,devengado,1007837387.77,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.06.000 - 54,TERCERA EDAD,devengado,958708687.59,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.06.000 - 57,CENTRO DES. Y FORTALECIM. N.A.F,devengado,208870417.81,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.06.000 - 58,DIRECCION GRAL. DE LA MUJER,devengado,230880638.99,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.06.000 - 62,FONDO EDUCATIVO,devengado,1985183457.66,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.06.000 - 63,OTROS PROGRAMAS PROVINCIALES,devengado,96737329.46,sef_msi_-_2024.pdf
2024,gastos_por_programa,1.1.1.01.06.000 - 70,CONVENIO POTENCIAR TRABAJO I,devengado,110000.00,sef_msi_-_2024.pdf
