# Modelo de flujo de caja del Municipio de San Isidro.
# PESOS CONSTANTES DE DICIEMBRE DE 2025, sin supuesto de
# inflacion. El anio 2025 es la EJECUCION REAL, no una
# proyeccion. Ver data/METODOLOGIA_MODELO.md.
escenario,anio,ing_origen_municipal,ing_origen_provincial,ing_origen_nacional,ing_otros_origenes,ingresos_corrientes,recursos_de_capital,ingresos_totales,gastos_corrientes,gastos_de_capital,gastos_totales,ahorro_corriente,resultado_financiero,stock_deuda,amortizacion,nuevo_endeudamiento,percepcion_pct,gasto_programa_empleo_vivienda,reasignacion_necesaria
adverso,2036,205443206630.07,63834994249.70,188777970.75,7282605911.41,276749584761.92,2030100797.22,278779685559.14,251403592133.29,57832237847.26,309235829980.55,25345992628.63,-30456144421.41,0.00,0.00,0.00,89.32,505701689.94,0.00
adverso,2037,205340485026.75,62137346968.23,188777970.75,7282605911.41,274949215877.14,2030100797.22,276979316674.36,251403592133.29,57832237847.26,309235829980.55,23545623743.85,-32256513306.19,0.00,0.00,0.00,89.32,505701689.94,0.00
reformista,2025,206576541436.91,87106739816.65,188777970.75,7282605911.41,301154665135.71,2030100797.22,303184765932.93,251403592133.29,57832237847.26,309235829980.55,49751073002.42,-6051064047.62,8960328499.00,0.00,0.00,89.32,505701689.94,0.00
reformista,2026,210604783994.93,85530539875.40,188777970.75,7282605911.41,303606707752.49,2030100797.22,305636808549.71,251403592133.29,57832237847.26,309235829980.55,52203115619.20,-3599021430.84,5572184084.00,3388144415.00,0.00,89.32,2312000204.83,1806298514.89
reformista,2027,214711577282.83,83988953284.86,188777970.75,7282605911.41,306171914449.85,2030100797.22,308202015247.07,251403592133.29,57832237847.26,309235829980.55,54768322316.56,-1033814733.48,3714789389.33,1857394694.67,0.00,89.32,4118298719.73,3612597029.79
reformista,2028,218898453039.85,82481219935.84,188777970.75,7282605911.41,308851056857.85,2030100797.22,310881157655.07,251403592133.29,57832237847.26,309235829980.55,57447464724.56,1645327674.52,1857394694.67,1857394694.67,0.00,89.32,5924597234.62,5418895544.68
reformista,2029,223166972874.12,81006596411.17,188777970.75,7282605911.41,311644953167.46,2030100797.22,313675053964.68,251403592133.29,57832237847.26,309235829980.55,60241361034.17,4439223984.13,0.00,1857394694.67,0.00,89.32,7730895749.51,7225194059.57
reformista,2030,227518728845.17,79564355619.11,188777970.75,7282605911.41,314554468346.43,2030100797.22,316584569143.65,251403592133.29,57832237847.26,309235829980.55,63150876213.14,7348739163.10,0.00,0.00,0.00,89.32,7730895749.51,7225194059.57
reformista,2031,231955344057.65,78153786434.83,188777970.75,7282605911.41,317580514374.64,2030100797.22,319610615171.86,251403592133.29,57832237847.26,309235829980.55,66176922241.35,10374785191.31,0.00,0.00,0.00,89.32,7730895749.51,7225194059.57
reformista,2032,236478473266.77,76774193349.84,188777970.75,7282605911.41,320724050498.78,2030100797.22,322754151296.00,251403592133.29,57832237847.26,309235829980.55,69320458365.49,13518321315.45,0.00,0.00,0.00,89.32,7730895749.51,7225194059.57
reformista,2033,241089803495.48,75424896129.00,188777970.75,7282605911.41,323986083506.64,2030100797.22,326016184303.86,251403592133.29,57832237847.26,309235829980.55,72582491373.35,16780354323.31,0.00,0.00,0.00,89.32,7730895749.51,7225194059.57
reformista,2034,245791054663.64,74105229475.13,188777970.75,7282605911.41,327367668020.93,2030100797.22,329397768818.15,251403592133.29,57832237847.26,309235829980.55,75964075887.64,20161938837.60,0.00,0.00,0.00,89.32,7730895749.51,7225194059.57
reformista,2035,250583980229.58,72814542700.98,188777970.75,7282605911.41,330869906812.72,2030100797.22,332900007609.94,251403592133.29,57832237847.26,309235829980.55,79466314679.43,23664177629.39,0.00,0.00,0.00,89.32,7730895749.51,7225194059.57
reformista,2036,255470367844.05,71552199408.39,188777970.75,7282605911.41,334493951134.60,2030100797.22,336524051931.82,251403592133.29,57832237847.26,309235829980.55,83090359001.31,27288221951.27,0.00,0.00,0.00,89.32,7730895749.51,7225194059.57
reformista,2037,260452040017.01,70317577174.50,188777970.75,7282605911.41,338241001073.68,2030100797.22,340271101870.90,251403592133.29,57832237847.26,309235829980.55,86837408940.39,31035271890.35,0.00,0.00,0.00,89.32,7730895749.51,7225194059.57
