anio,trimestre,fecha_corte,codigo,concepto,saldo,amortiz_ej1,intereses_ej1,amortiz_ej2,intereses_ej2,amortiz_ej3,intereses_ej3,amortiz_resto,intereses_resto,deuda_vencida_impaga,fuente,coef_deflactor,base_coef,monto_constante_dic2025,saldo_const_dic2025,amortiz_ej1_const_dic2025,intereses_ej1_const_dic2025,amortiz_ej2_const_dic2025,intereses_ej2_const_dic2025,amortiz_ej3_const_dic2025,intereses_ej3_const_dic2025,amortiz_resto_const_dic2025,intereses_resto_const_dic2025,deuda_vencida_impaga_const_dic2025
2024,III,30/9/2024,1.1,ORGANISMOS PUBLICOS PROVINCIALES,1866060514.00,1866060514.00,,,,,,,,,2024_iii_stock_de_deuda.pdf,1.42109346,"stock al 30/9/2024, indice de 2024-09",2651846392.41,2651846392.41,2651846392.41,,,,,,,,
2024,III,30/9/2024,1.1.1,TESORO PROVINCIAL,237157017.00,237157017.00,,,,,,,,,2024_iii_stock_de_deuda.pdf,1.42109346,"stock al 30/9/2024, indice de 2024-09",337022285.85,337022285.85,337022285.85,,,,,,,,
2024,III,30/9/2024,1.1.3,I.P.S. (**),1170932359.00,1170932359.00,,,,,,,,,2024_iii_stock_de_deuda.pdf,1.42109346,"stock al 30/9/2024, indice de 2024-09",1664004317.48,1664004317.48,1664004317.48,,,,,,,,
2024,III,30/9/2024,1.1.4,I.O.M.A.(**),457971139.00,457971139.00,,,,,,,,,2024_iii_stock_de_deuda.pdf,1.42109346,"stock al 30/9/2024, indice de 2024-09",650819790.50,650819790.50,650819790.50,,,,,,,,
2024,III,30/9/2024,1.2,ORGANISMOS PUBLICOS NACIONALES,0.00,0.00,,,,,,,,,2024_iii_stock_de_deuda.pdf,1.42109346,"stock al 30/9/2024, indice de 2024-09",0.00,0.00,0.00,,,,,,,,
2024,III,30/9/2024,1.3,BANCOS,0.00,0.00,,,,,,,,,2024_iii_stock_de_deuda.pdf,1.42109346,"stock al 30/9/2024, indice de 2024-09",0.00,0.00,0.00,,,,,,,,
2024,III,30/9/2024,1.4,EMPRESAS,223381307.00,223381307.00,,,,,,,,,2024_iii_stock_de_deuda.pdf,1.42109346,"stock al 30/9/2024, indice de 2024-09",317445714.46,317445714.46,317445714.46,,,,,,,,
2024,III,30/9/2024,1.4.2,PROVEEDORES (CEAMSE) (***),223381307.00,223381307.00,,,,,,,,,2024_iii_stock_de_deuda.pdf,1.42109346,"stock al 30/9/2024, indice de 2024-09",317445714.46,317445714.46,317445714.46,,,,,,,,
2024,III,30/9/2024,1.6,OTRAS DEUDAS,0.00,0.00,,,,,,,,,2024_iii_stock_de_deuda.pdf,1.42109346,"stock al 30/9/2024, indice de 2024-09",0.00,0.00,0.00,,,,,,,,
2024,III,30/9/2024,2,Saldo de Deuda Flotante,5241933083.00,,,,,,,,,,2024_iii_stock_de_deuda.pdf,1.42109346,"stock al 30/9/2024, indice de 2024-09",7449276822.01,7449276822.01,,,,,,,,,
2024,IV,31/12/2024,1,DEUDA CONSOLIDADA,3740460832.00,2685165528.00,,,,,,,,,2024_iv_stock_de_deuda.pdf,1.31548761,"stock al 31/12/2024, indice de 2024-12",4920529880.19,4920529880.19,3532301982.88,,,,,,,,
2024,IV,31/12/2024,1.1,ORGANISMOS PUBLICOS PROVINCIALES,2370514280.00,2370514280.00,,,,,,,,,2024_iv_stock_de_deuda.pdf,1.31548761,"stock al 31/12/2024, indice de 2024-12",3118382164.67,3118382164.67,3118382164.67,,,,,,,,
2024,IV,31/12/2024,1.1.1,TESORO PROVINCIAL,237157017.00,237157017.00,,,,,,,,,2024_iv_stock_de_deuda.pdf,1.31548761,"stock al 31/12/2024, indice de 2024-12",311977117.49,311977117.49,311977117.49,,,,,,,,
2024,IV,31/12/2024,1.1.3,I.P.S. (**),1535527114.00,1535527114.00,,,,,,,,,2024_iv_stock_de_deuda.pdf,1.31548761,"stock al 31/12/2024, indice de 2024-12",2019966893.29,2019966893.29,2019966893.29,,,,,,,,
2024,IV,31/12/2024,1.1.4,I.O.M.A.(**),597830149.00,597830149.00,,,,,,,,,2024_iv_stock_de_deuda.pdf,1.31548761,"stock al 31/12/2024, indice de 2024-12",786438153.89,786438153.89,786438153.89,,,,,,,,
