# Ejecución presupuestaria 2025 de 106 de los 135 municipios
# de la Provincia de Buenos Aires, del RAFAM provincial.
# Fuente: 01_raw/rafam_2025_106_municipios.csv (aportado, sin
# URL registrada en 01_raw/INVENTARIO.txt).
# Faltan 29 municipios. No se estima ninguno.
# pct_personal = gastos_en_personal_dev / total_presupuestario_dev
# pct_obra     = bienes_de_uso_dev      / total_presupuestario_dev
# puesto_personal: 1 = el que MENOS peso le da al personal.
# puesto_obra:     1 = el que MAS invierte en bienes de uso.
# mediana_pct_personal = 50.7427
# mediana_pct_obra     = 5.4397
municipio,seccion,total_presupuestario_dev,gastos_en_personal_dev,bienes_de_uso_dev,pct_personal,pct_obra,puesto_personal,puesto_obra,fuente
Junin,,60680.0,22615.0,4110.0,37.2693,6.7732,26,43,01_raw/rafam_2025_106_municipios.csv
La Matanza,3,536978.0,98487.0,58471.0,18.3410,10.8889,2,15,01_raw/rafam_2025_106_municipios.csv
La Plata,8,475655.0,91791.0,113187.0,19.2978,23.7960,3,1,01_raw/rafam_2025_106_municipios.csv
Lanus,,250087.0,71776.0,21458.0,28.7004,8.5802,10,27,01_raw/rafam_2025_106_municipios.csv
Laprida,6,20608.0,11420.0,2308.0,55.4154,11.1995,79,13,01_raw/rafam_2025_106_municipios.csv
Las Flores,5,23595.0,11129.0,2256.0,47.1668,9.5613,45,23,01_raw/rafam_2025_106_municipios.csv
LasHeras,,16904.0,8050.0,1717.0,47.6219,10.1574,46,20,01_raw/rafam_2025_106_municipios.csv
Lezama,5,8595.0,5232.0,21.0,60.8726,0.2443,90,106,01_raw/rafam_2025_106_municipios.csv
Lincoln,4,47136.0,28867.0,1833.0,61.2419,3.8887,92,68,01_raw/rafam_2025_106_municipios.csv
Lobos,3,19401.0,9823.0,223.0,50.6314,1.1494,53,100,01_raw/rafam_2025_106_municipios.csv
Lujan,,107439.0,39142.0,18892.0,36.4318,17.5839,23,5,01_raw/rafam_2025_106_municipios.csv
Magdalena,3,19782.0,10622.0,700.0,53.6953,3.5386,68,69,01_raw/rafam_2025_106_municipios.csv
Malvinas Argentinas,1,378963.0,79032.0,49355.0,20.8548,13.0237,4,8,01_raw/rafam_2025_106_municipios.csv
Mercedes,1,51870.0,25698.0,3805.0,49.5431,7.3356,52,36,01_raw/rafam_2025_106_municipios.csv
Monte,,14436.0,6725.0,1869.0,46.5849,12.9468,42,9,01_raw/rafam_2025_106_municipios.csv
Monte Hermoso,6,30064.0,14404.0,1375.0,47.9111,4.5736,47,59,01_raw/rafam_2025_106_municipios.csv
Moreno,1,303972.0,103883.0,18202.0,34.1752,5.9881,18,48,01_raw/rafam_2025_106_municipios.csv
Moron,,202116.0,109892.0,3353.0,54.3708,1.6589,72,92,01_raw/rafam_2025_106_municipios.csv
Navarro,1,19950.0,8454.0,1511.0,42.3759,7.5739,34,33,01_raw/rafam_2025_106_municipios.csv
Necochea,5,83258.0,44846.0,1239.0,53.8639,1.4881,69,93,01_raw/rafam_2025_106_municipios.csv
Olavarria,,122169.0,63030.0,4867.0,51.5925,3.9838,59,66,01_raw/rafam_2025_106_municipios.csv
Patagones,6,41479.0,21208.0,3256.0,51.1295,7.8498,57,30,01_raw/rafam_2025_106_municipios.csv
Pehuajo,,50223.0,29647.0,3260.0,59.0307,6.4910,86,46,01_raw/rafam_2025_106_municipios.csv
Pellegrini,6,12436.0,6364.0,395.0,51.1740,3.1763,58,75,01_raw/rafam_2025_106_municipios.csv
Pergamino,2,71846.0,30875.0,16013.0,42.9739,22.2879,36,3,01_raw/rafam_2025_106_municipios.csv
Pila,5,14455.0,5735.0,372.0,39.6749,2.5735,31,87,01_raw/rafam_2025_106_municipios.csv
Pinamar,5,74196.0,45720.0,2917.0,61.6206,3.9315,94,67,01_raw/rafam_2025_106_municipios.csv
Presidente Peron,,27555.0,9436.0,2158.0,34.2442,7.8316,19,31,01_raw/rafam_2025_106_municipios.csv
Puan,6,32016.0,8729.0,1350.0,27.2645,4.2166,6,62,01_raw/rafam_2025_106_municipios.csv
Quilmes,3,325770.0,125183.0,49154.0,38.4268,15.0886,28,6,01_raw/rafam_2025_106_municipios.csv
Rauch,5,22573.0,8354.0,732.0,37.0088,3.2428,24,74,01_raw/rafam_2025_106_municipios.csv
Rivadavia,4,28292.0,12147.0,2255.0,42.9344,7.9705,35,28,01_raw/rafam_2025_106_municipios.csv
Rojas,2,32516.0,15216.0,1093.0,46.7954,3.3614,44,71,01_raw/rafam_2025_106_municipios.csv
