anio,concepto,subconcepto,monto,porcentaje,fuente,pagina,coef_deflactor,base_coef,monto_constante_dic2025,monto_const_dic2025
2011,gastos_por_caracter,gastos_corrientes,666171011.91,83.61,rendicionctas20111.pdf,8,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",288701307159.53,288701307159.53
2011,gastos_por_caracter,gastos_de_capital,70873552.93,8.90,rendicionctas20111.pdf,8,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",30714766941.40,30714766941.40
2011,gastos_por_jurisdiccion,"2. SECRETARIA DE INSPECCIONES, REG. URB.Y TRANSITO",80724033.15,10.13,rendicionctas20111.pdf,11,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",34983710598.24,34983710598.24
2011,gastos_por_jurisdiccion,3. SECRETARIA DE INTEGRACION COMUNITARIA Y DESARROLLO SOCIAL,131185249.56,16.47,rendicionctas20111.pdf,11,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",56852298210.08,56852298210.08
2011,gastos_por_jurisdiccion,4. SECRETARIA DE OBRAS PUBLICAS,79196924.09,9.94,rendicionctas20111.pdf,11,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",34321900981.91,34321900981.91
2011,gastos_por_jurisdiccion,5. SECRETARIA DE SERVICIOS PUBLICOS,158666291.01,19.91,rendicionctas20111.pdf,11,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",68761871648.25,68761871648.25
2011,gastos_por_jurisdiccion,6. SECRETARIA DE SALUD PUBLICA,204212328.18,25.63,rendicionctas20111.pdf,11,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",88500347552.83,88500347552.83
2011,gastos_por_jurisdiccion,7. PARTIDAS NO ASIGNABLES A PROGRAMAS,63561044.86,7.98,rendicionctas20111.pdf,11,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",27545714850.15,27545714850.15
2011,gastos_por_jurisdiccion,8. HONORABLE CONCEJO DELIBERANTE,14453084.94,1.81,rendicionctas20111.pdf,11,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",6263593641.97,6263593641.97
2011,gastos_por_jurisdiccion,"GASTOS POR JURISDICCION JURISDICCION MONTO % 1. SEC. GRAL. DE GOBIERNO Y ADM., PRIVADA Y PRODUCCION",64737355.06,8.13,rendicionctas20111.pdf,11,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",28055497302.84,28055497302.84
2011,gastos_por_objeto,activos_financieros,27003.66,0.00,rendicionctas20111.pdf,9,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",11702688.65,11702688.65
2011,gastos_por_objeto,bienes_de_consumo,44019285.77,5.52,rendicionctas20111.pdf,9,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",19076821288.86,19076821288.86
2011,gastos_por_objeto,bienes_de_uso,36908827.58,4.63,rendicionctas20111.pdf,9,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",15995332395.99,15995332395.99
2011,gastos_por_objeto,recursos_humanos,325766544.38,40.89,rendicionctas20111.pdf,9,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",141178804706.16,141178804706.16
2011,gastos_por_objeto,servicio_de_la_deuda,63561044.86,7.98,rendicionctas20111.pdf,9,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",27545714850.15,27545714850.15
2011,gastos_por_objeto,servicios_no_personales,252975104.61,31.75,rendicionctas20111.pdf,9,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",109632875153.67,109632875153.67
2011,gastos_por_objeto,transferencias,73478499.99,9.22,rendicionctas20111.pdf,9,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",31843683702.80,31843683702.80
2011,recursos_por_rubro,disminucion_otros_activos_financieros,27003.66,0.00,rendicionctas20111.pdf,3,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",11702688.65,11702688.65
2011,recursos_por_rubro,ingresos_no_tributarios,410123526.14,56.30,rendicionctas20111.pdf,3,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",177736941380.89,177736941380.89
2011,recursos_por_rubro,ingresos_tributarios,243346997.98,33.41,rendicionctas20111.pdf,3,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",105460302466.10,105460302466.10
2011,recursos_por_rubro,recursos_propios_de_capital,288926.78,0.04,rendicionctas20111.pdf,3,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",125213402.52,125213402.52
2011,recursos_por_rubro,rentas_de_la_propiedad,38087.71,0.01,rendicionctas20111.pdf,3,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",16506229.58,16506229.58
2011,recursos_por_rubro,transferencias_corrientes,37696574.19,5.18,rendicionctas20111.pdf,3,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",16336721426.66,16336721426.66
2011,recursos_por_rubro,transferencias_de_capital,36885400.39,5.06,rendicionctas20111.pdf,3,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",15985179657.04,15985179657.04
2011,total_gastos,,796736310.85,,rendicionctas20111.pdf,8,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",345284934786.28,345284934786.28
2011,total_gastos_jurisdiccion,,796736310.85,,rendicionctas20111.pdf,11,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",345284934786.28,345284934786.28
2011,total_gastos_objeto,,796736310.85,,rendicionctas20111.pdf,9,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",345284934786.28,345284934786.28
2011,total_recursos,,728406516.85,,rendicionctas20111.pdf,3,433.37416669,"anual 2011, promedio de 12 meses ponderado por dias",315672567251.43,315672567251.43
2012,gastos_por_caracter,aplicaciones_financieras,70082166.23,7.20,rendicionctas-2012_02.pdf,12,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",24554764799.16,24554764799.16
2012,gastos_por_caracter,gastos_corrientes,856361738.99,88.03,rendicionctas-2012_02.pdf,12,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",300044393817.57,300044393817.57
2012,gastos_por_caracter,gastos_de_capital,46358008.37,4.77,rendicionctas-2012_02.pdf,12,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",16242505808.79,16242505808.79
2012,gastos_por_jurisdiccion,"2. SUBSECRETARIA GRAL. DE INSP., REG. URB.Y TRANSITO",103365330.51,10.63,rendicionctas-2012_02.pdf,15,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",36216223264.72,36216223264.72
2012,gastos_por_jurisdiccion,3. SECRETARIA DE INTEGRACION COMUNITARIA Y DE LA NINEZ ADOLESCENCIA Y FAMILIA,163508813.02,16.81,rendicionctas-2012_02.pdf,15,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",57288760640.19,57288760640.19
2012,gastos_por_jurisdiccion,4. SECRETARIA DE OBRAS PUBLICAS,71859845.44,7.39,rendicionctas-2012_02.pdf,15,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",25177612197.27,25177612197.27
2012,gastos_por_jurisdiccion,5. SUBSECRETARIA GRAL. DE ESPACIO PUBLICO,198666545.96,20.42,rendicionctas-2012_02.pdf,15,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",69607013765.82,69607013765.82
2012,gastos_por_jurisdiccion,6. SECRETARIA DE SALUD PUBLICA,257675232.83,26.49,rendicionctas-2012_02.pdf,15,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",90281951558.77,90281951558.77
2012,gastos_por_jurisdiccion,7. PARTIDAS NO ASIGNABLES A PROGRAMAS,70082166.23,7.20,rendicionctas-2012_02.pdf,15,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",24554764799.16,24554764799.16
2012,gastos_por_jurisdiccion,8. HONORABLE CONCEJO DELIBERANTE,20252022.75,2.08,rendicionctas-2012_02.pdf,15,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",7095723235.80,7095723235.80
2012,gastos_por_jurisdiccion,"GASTOS POR JURISDICCION JURISDICCION MONTO % 1. SEC. GRAL. DE GOB. Y ADM., PRIVADA, HACINEDA Y PROD",87391956.85,8.98,rendicionctas-2012_02.pdf,15,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",30619614963.78,30619614963.78
2012,gastos_por_objeto,bienes_de_consumo,66072984.54,6.79,rendicionctas-2012_02.pdf,13,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",23150063450.29,23150063450.29
2012,gastos_por_objeto,bienes_de_uso,19052924.59,1.96,rendicionctas-2012_02.pdf,13,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",6675593909.42,6675593909.42
2012,gastos_por_objeto,recursos_humanos,413329931.38,42.49,rendicionctas-2012_02.pdf,13,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",144818857570.44,144818857570.44
2012,gastos_por_objeto,servicio_de_la_deuda,70082166.23,7.20,rendicionctas-2012_02.pdf,13,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",24554764799.16,24554764799.16
2012,gastos_por_objeto,servicios_no_personales,324389623.54,33.35,rendicionctas-2012_02.pdf,13,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",113656745186.40,113656745186.40
2012,gastos_por_objeto,transferencias,79874283.31,8.21,rendicionctas-2012_02.pdf,13,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",27985639509.80,27985639509.80
2012,recursos_por_rubro,ingresos_no_tributarios,516595931.24,58.47,rendicionctas-2012_02.pdf,3,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",181000278247.30,181000278247.30
2012,recursos_por_rubro,ingresos_tributarios,285935310.67,32.36,rendicionctas-2012_02.pdf,3,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",100183465765.54,100183465765.54
2012,recursos_por_rubro,recursos_propios_de_capital,1806086.36,0.20,rendicionctas-2012_02.pdf,3,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",632800442.14,632800442.14
2012,recursos_por_rubro,rentas_de_la_propiedad,55573.10,0.01,rendicionctas-2012_02.pdf,3,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",19471207.48,19471207.48
2012,recursos_por_rubro,transferencias_corrientes,44887674.05,5.08,rendicionctas-2012_02.pdf,3,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",15727343174.04,15727343174.04
2012,recursos_por_rubro,transferencias_de_capital,34238538.90,3.88,rendicionctas-2012_02.pdf,3,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",11996194110.17,11996194110.17
2012,total_gastos,,972801913.59,,rendicionctas-2012_02.pdf,12,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",340841664425.52,340841664425.52
2012,total_gastos_jurisdiccion,,972801913.59,,rendicionctas-2012_02.pdf,15,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",340841664425.52,340841664425.52
2012,total_gastos_objeto,,972801913.59,,rendicionctas-2012_02.pdf,13,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",340841664425.52,340841664425.52
2012,total_recursos,,883519114.32,,rendicionctas-2012_02.pdf,3,350.37108754,"anual 2012, promedio de 12 meses ponderado por dias",309559552946.68,309559552946.68
2019,gastos_por_caracter,aplicaciones_financieras,522485383.02,,informe_arsi_rendicion_de_cuentas_2019.pdf,3,43.44823107,"anual 2019, promedio de 12 meses ponderado por dias",22701065652.15,22701065652.15
2019,gastos_por_caracter,gastos_corrientes,8663279637.06,,informe_arsi_rendicion_de_cuentas_2019.pdf,3,43.44823107,"anual 2019, promedio de 12 meses ponderado por dias",376404175495.01,376404175495.01
2019,gastos_por_caracter,gastos_de_capital,994625951.22,,informe_arsi_rendicion_de_cuentas_2019.pdf,3,43.44823107,"anual 2019, promedio de 12 meses ponderado por dias",43214738156.83,43214738156.83
2019,recursos_por_rubro,ingresos_no_tributarios,5786966573.14,,informe_arsi_rendicion_de_cuentas_2019.pdf,3,43.44823107,"anual 2019, promedio de 12 meses ponderado por dias",251433460864.15,251433460864.15
2019,recursos_por_rubro,ingresos_tributarios,2558415859.90,,informe_arsi_rendicion_de_cuentas_2019.pdf,3,43.44823107,"anual 2019, promedio de 12 meses ponderado por dias",111158643454.09,111158643454.09
2019,recursos_por_rubro,recursos_propios_de_capital,142153.60,,informe_arsi_rendicion_de_cuentas_2019.pdf,3,43.44823107,"anual 2019, promedio de 12 meses ponderado por dias",6176322.46,6176322.46
2019,recursos_por_rubro,rentas_de_la_propiedad,121799281.98,,informe_arsi_rendicion_de_cuentas_2019.pdf,3,43.44823107,"anual 2019, promedio de 12 meses ponderado por dias",5291963347.63,5291963347.63
2019,recursos_por_rubro,transferencias_corrientes,580509885.58,,informe_arsi_rendicion_de_cuentas_2019.pdf,3,43.44823107,"anual 2019, promedio de 12 meses ponderado por dias",25222127647.10,25222127647.10
2019,resultado_del_ejercicio,,-610071834.08,,informe_arsi_rendicion_de_cuentas_2019.pdf,3,43.44823107,"anual 2019, promedio de 12 meses ponderado por dias",-26506542016.41,-26506542016.41
2019,total_gastos,,9657905588.28,,informe_arsi_rendicion_de_cuentas_2019.pdf,3,43.44823107,"anual 2019, promedio de 12 meses ponderado por dias",419618913651.83,419618913651.83
2019,total_recursos,,9047833754.20,,informe_arsi_rendicion_de_cuentas_2019.pdf,3,43.44823107,"anual 2019, promedio de 12 meses ponderado por dias",393112371635.43,393112371635.43
2020,gastos_por_caracter,aplicaciones_financieras,1363604388.55,,informe_arsi_rendicion_de_cuentas_2020.pdf,3,30.60988824,"anual 2020, promedio de 12 meses ponderado por dias",41739777937.09,41739777937.09
2020,gastos_por_caracter,gastos_corrientes,11677976987.83,,informe_arsi_rendicion_de_cuentas_2020.pdf,3,30.60988824,"anual 2020, promedio de 12 meses ponderado por dias",357461570466.77,357461570466.77
2020,gastos_por_caracter,gastos_de_capital,607223751.10,,informe_arsi_rendicion_de_cuentas_2020.pdf,3,30.60988824,"anual 2020, promedio de 12 meses ponderado por dias",18587051157.84,18587051157.84
2020,recursos_por_rubro,ingresos_no_tributarios,7640166172.31,,informe_arsi_rendicion_de_cuentas_2020.pdf,3,30.60988824,"anual 2020, promedio de 12 meses ponderado por dias",233864632669.44,233864632669.44
2020,recursos_por_rubro,ingresos_tributarios,3449042972.38,,informe_arsi_rendicion_de_cuentas_2020.pdf,3,30.60988824,"anual 2020, promedio de 12 meses ponderado por dias",105574819919.51,105574819919.51
2020,recursos_por_rubro,recursos_propios_de_capital,19579767.85,,informe_arsi_rendicion_de_cuentas_2020.pdf,3,30.60988824,"anual 2020, promedio de 12 meses ponderado por dias",599334505.65,599334505.65
2020,recursos_por_rubro,rentas_de_la_propiedad,86344830.07,,informe_arsi_rendicion_de_cuentas_2020.pdf,3,30.60988824,"anual 2020, promedio de 12 meses ponderado por dias",2643005598.54,2643005598.54
2020,recursos_por_rubro,transferencias_corrientes,752889413.40,,informe_arsi_rendicion_de_cuentas_2020.pdf,3,30.60988824,"anual 2020, promedio de 12 meses ponderado por dias",23045860801.25,23045860801.25
2020,resultado_del_ejercicio,,-337177582.92,,informe_arsi_rendicion_de_cuentas_2020.pdf,3,30.60988824,"anual 2020, promedio de 12 meses ponderado por dias",-10320968130.21,-10320968130.21
2020,total_gastos,,12285200738.93,,informe_arsi_rendicion_de_cuentas_2020.pdf,3,30.60988824,"anual 2020, promedio de 12 meses ponderado por dias",376048621624.61,376048621624.61
2020,total_recursos,,11948023156.01,,informe_arsi_rendicion_de_cuentas_2020.pdf,3,30.60988824,"anual 2020, promedio de 12 meses ponderado por dias",365727653494.40,365727653494.40
2021,gastos_por_caracter,aplicaciones_financieras,2506380037.20,,informe_arsi_rendicion_de_cuentas_2021.pdf,3,20.61411810,"anual 2021, promedio de 12 meses ponderado por dias",51666814090.32,51666814090.32
2021,gastos_por_caracter,gastos_corrientes,16682873856.02,,informe_arsi_rendicion_de_cuentas_2021.pdf,3,20.61411810,"anual 2021, promedio de 12 meses ponderado por dias",343902731915.40,343902731915.40
2021,gastos_por_caracter,gastos_de_capital,1244256073.70,,informe_arsi_rendicion_de_cuentas_2021.pdf,3,20.61411810,"anual 2021, promedio de 12 meses ponderado por dias",25649241649.89,25649241649.89
2021,recursos_por_rubro,ingresos_no_tributarios,12360626725.46,,informe_arsi_rendicion_de_cuentas_2021.pdf,3,20.61411810,"anual 2021, promedio de 12 meses ponderado por dias",254803419108.65,254803419108.65
2021,recursos_por_rubro,ingresos_tributarios,5216954675.79,,informe_arsi_rendicion_de_cuentas_2021.pdf,3,20.61411810,"anual 2021, promedio de 12 meses ponderado por dias",107542919809.08,107542919809.08
2021,recursos_por_rubro,recursos_propios_de_capital,1434871.40,,informe_arsi_rendicion_de_cuentas_2021.pdf,3,20.61411810,"anual 2021, promedio de 12 meses ponderado por dias",29578608.50,29578608.50
2021,recursos_por_rubro,rentas_de_la_propiedad,379530313.83,,informe_arsi_rendicion_de_cuentas_2021.pdf,3,20.61411810,"anual 2021, promedio de 12 meses ponderado por dias",7823682711.82,7823682711.82
2021,recursos_por_rubro,transferencias_corrientes,1194717647.55,,informe_arsi_rendicion_de_cuentas_2021.pdf,3,20.61411810,"anual 2021, promedio de 12 meses ponderado por dias",24628050682.75,24628050682.75
2021,resultado_del_ejercicio,,1226134304.31,,informe_arsi_rendicion_de_cuentas_2021.pdf,3,20.61411810,"anual 2021, promedio de 12 meses ponderado por dias",25275677355.51,25275677355.51
2021,total_gastos,,17927129929.72,,informe_arsi_rendicion_de_cuentas_2021.pdf,3,20.61411810,"anual 2021, promedio de 12 meses ponderado por dias",369551973565.29,369551973565.29
2021,total_recursos,,19153264234.03,,informe_arsi_rendicion_de_cuentas_2021.pdf,3,20.61411810,"anual 2021, promedio de 12 meses ponderado por dias",394827650920.80,394827650920.80
