anio,concepto,subconcepto,monto,fuente,pagina
2020,total_recursos,,17501205467.00,informe_arsi_presupuesto_2020.pdf,4
2021,gastos_por_objeto,bienes_de_consumo,2867332200.00,informe_arsi_presupuesto_2021.pdf,7
2021,gastos_por_objeto,bienes_de_uso,1173347000.00,informe_arsi_presupuesto_2021.pdf,7
2021,gastos_por_objeto,gastos_en_personal,6970700193.00,informe_arsi_presupuesto_2021.pdf,7
2021,gastos_por_objeto,servicio_de_la_deuda,1963485000.00,informe_arsi_presupuesto_2021.pdf,7
2021,gastos_por_objeto,servicios_no_personales,10180121500.00,informe_arsi_presupuesto_2021.pdf,7
2021,gastos_por_objeto,transferencias,1083719000.00,informe_arsi_presupuesto_2021.pdf,7
2021,recursos_por_origen,municipal,17147818893.00,informe_arsi_presupuesto_2021.pdf,4
2021,recursos_por_origen,nacional,367411000.00,informe_arsi_presupuesto_2021.pdf,4
2021,recursos_por_origen,otros,390227000.00,informe_arsi_presupuesto_2021.pdf,4
2021,recursos_por_origen,provincial,6333248000.00,informe_arsi_presupuesto_2021.pdf,4
2021,total_gastos,,24238704893.00,informe_arsi_presupuesto_2021.pdf,7
2021,total_recursos,,24238704893.00,informe_arsi_presupuesto_2021.pdf,4
2023,recursos_por_origen,municipal,40055970000.00,presentacion_power_point_presupuesto_2023_1.pdf,15
2023,recursos_por_origen,nacional,1869628124.00,presentacion_power_point_presupuesto_2023_1.pdf,15
2023,recursos_por_origen,otros,800125000.00,presentacion_power_point_presupuesto_2023_1.pdf,15
2023,recursos_por_origen,provincial,16103506876.00,presentacion_power_point_presupuesto_2023_1.pdf,15
2023,total_gastos,,58829230000.00,presentacion_power_point_presupuesto_2023_1.pdf,2
2023,total_recursos,,58829230000.00,presentacion_power_point_presupuesto_2023_1.pdf,2
2024,gastos_por_objeto,bienes_de_consumo,14660846625.00,2024_presupuesto_de_recursos_y_gastos_por_rubro_y_objeto.pdf,
2024,gastos_por_objeto,bienes_de_uso,8795950330.10,2024_presupuesto_de_recursos_y_gastos_por_rubro_y_objeto.pdf,
2024,gastos_por_objeto,gastos_en_personal,65806703756.03,2024_presupuesto_de_recursos_y_gastos_por_rubro_y_objeto.pdf,
2024,gastos_por_objeto,servicio_de_la_deuda,6634161493.00,2024_presupuesto_de_recursos_y_gastos_por_rubro_y_objeto.pdf,
2024,gastos_por_objeto,servicios_no_personales,55280183253.00,2024_presupuesto_de_recursos_y_gastos_por_rubro_y_objeto.pdf,
2024,gastos_por_objeto,transferencias,4793320209.87,2024_presupuesto_de_recursos_y_gastos_por_rubro_y_objeto.pdf,
2024,total_recursos,,155971165667.00,2024_presupuesto_de_recursos_y_gastos_por_rubro_y_objeto.pdf,2
2024,recursos_por_origen,municipal,118942461026.00,presupuesto_2024_hcd.pdf,3
2024,recursos_por_origen,nacional,1697019103.50,presupuesto_2024_hcd.pdf,3
2024,recursos_por_origen,otros,1600250000.00,presupuesto_2024_hcd.pdf,3
2024,recursos_por_origen,provincial,33731435537.50,presupuesto_2024_hcd.pdf,3
2024,total_recursos,,155971165667.00,presupuesto_2024_hcd.pdf,3
2025,gastos_por_objeto,bienes_de_consumo,17057360033.00,presupuesto_2025_msi.pdf,
2025,gastos_por_objeto,bienes_de_uso,52796213849.00,presupuesto_2025_msi.pdf,
2025,gastos_por_objeto,gastos_en_personal,97684606849.00,presupuesto_2025_msi.pdf,
2025,gastos_por_objeto,servicio_de_la_deuda,3950000000.00,presupuesto_2025_msi.pdf,
2025,gastos_por_objeto,servicios_no_personales,89703662679.00,presupuesto_2025_msi.pdf,
2025,gastos_por_objeto,transferencias,6518689424.00,presupuesto_2025_msi.pdf,
2025,total_gastos,,267710532834.00,presupuesto_2025_msi.pdf,10
2025,total_recursos,,267710532834.00,presupuesto_2025_msi.pdf,3
