cca,partida,localidad,superficie_m2,iust,vub,tierra_hoy,tierra_B_igual_recaudacion,tierra_B_mas_7225M,tierra_A,lon,lat
097070B000000000000000000000003600A0013000,097069563,San Isidro,313.07,160,90.0,346179,8753,9604,346179,-58.543815,-34.473909
097070B000000000000000000000003600A0014000,097069564,San Isidro,339.11,160,90.0,374973,9481,10402,374973,-58.54392,-34.473961
097070B000000000000000000000003600B0001000,097012384,San Isidro,308.24,160,90.0,340838,8618,9455,340838,-58.543209,-34.474021
097070B000000000000000000000003600B0002000,097069532,San Isidro,273.86,160,90.0,302822,7657,8401,302822,-58.543102,-34.474065
097070B000000000000000000000003600B0003000,097069533,San Isidro,425.3,160,90.0,470278,11891,13046,470278,-58.543119,-34.474187
097070B000000000000000000000003600B0004000,097069534,San Isidro,417.08,160,90.0,461188,11661,12794,461188,-58.543078,-34.474271
097070B000000000000000000000003600B0005000,097069535,San Isidro,418.67,160,90.0,462946,11706,12843,462946,-58.543024,-34.474348
097070B000000000000000000000003600B0006000,097069536,San Isidro,438.56,160,90.0,484940,12262,13453,484940,-58.542969,-34.474428
097070B000000000000000000000003600B0007000,097069537,San Isidro,418.07,160,90.0,462283,11689,12824,462283,-58.542913,-34.474506
097070B000000000000000000000003600B0008000,097069538,San Isidro,433.75,160,90.0,479621,12127,13305,479621,-58.542848,-34.474581
097070B000000000000000000000003600B0009000,097069539,San Isidro,234.56,160,90.0,259366,6558,7195,259366,-58.542708,-34.474623
097070B000000000000000000000003600B0010000,097069540,San Isidro,279.23,160,90.0,308760,7807,8565,308760,-58.542569,-34.474726
097070B000000000000000000000003600B0011000,097069541,San Isidro,268.76,160,90.0,297183,7514,8244,297183,-58.542665,-34.474787
097070B000000000000000000000003600B0012000,097069542,San Isidro,369.27,160,90.0,408322,10324,11327,408322,-58.54278,-34.474812
097070B000000000000000000000003600B0013000,097069543,San Isidro,367.05,160,90.0,405867,10262,11259,405867,-58.54289,-34.47484
097070B000000000000000000000003600B0014000,097069544,San Isidro,365.72,160,90.0,404397,10225,11219,404397,-58.542955,-34.474929
097070B000000000000000000000003600B0015000,097069545,San Isidro,265.98,160,90.0,294109,7437,8159,294109,-58.543053,-34.474975
097070B000000000000000000000003600B0016000,097011968,San Isidro,289.37,160,90.0,319972,8090,8877,319972,-58.543156,-34.475026
097070B000000000000000000000003600B0017000,097069546,San Isidro,231.87,160,90.0,256391,6483,7113,256391,-58.543206,-34.474863
097070B000000000000000000000003600B0018000,097069547,San Isidro,332.73,160,90.0,367918,9303,10207,367918,-58.543192,-34.474747
097070B000000000000000000000003600B0019000,097069548,San Isidro,334.76,160,90.0,370163,9360,10269,370163,-58.543267,-34.474678
097070B000000000000000000000003600B0020000,097069549,San Isidro,337.27,160,90.0,372938,9430,10346,372938,-58.543323,-34.4746
097070B000000000000000000000003600B0021000,097069550,San Isidro,330.38,160,90.0,365319,9237,10135,365319,-58.543378,-34.474521
097070B000000000000000000000003600B0022000,097069551,San Isidro,329.71,160,90.0,364579,9218,10114,364579,-58.543432,-34.474443
097070B000000000000000000000003600B0023000,097069552,San Isidro,331.29,160,90.0,366326,9263,10162,366326,-58.543487,-34.474367
097070B000000000000000000000003600B0024000,097069553,San Isidro,262.47,160,90.0,290228,7338,8051,290228,-58.543599,-34.474306
097070B000000000000000000000003600B0025000,097069554,San Isidro,308.47,160,90.0,341092,8625,9462,341092,-58.543662,-34.474201
097070B000000000000000000000003600B0026000,097069555,San Isidro,266.22,160,90.0,294374,7443,8166,294374,-58.543497,-34.474157
097070B000000000000000000000003600B0027000, ,San Isidro,244.82,160,90.0,270711,6845,7510,270711,-58.543388,-34.474134
097070B000000000000000000000003600B0028000,097069557,San Isidro,253.69,160,90.0,280519,7093,7782,280519,-58.543274,-34.474119
097070B0000000000000000000000037000000100A,097051696,San Isidro,304.92,160,3532.25,337167,334593,367100,337167,-58.547518,-34.47103
097070B00000000000000000000000370000002000,097044697,San Isidro,217.05,160,3532.25,240004,238172,261312,240004,-58.547441,-34.471111
097070B00000000000000000000000370000003000,097051697,San Isidro,217.76,160,3532.25,240789,238951,262166,240789,-58.547389,-34.471192
097070B00000000000000000000000370000004000,097063262,San Isidro,209.22,160,3532.25,231346,229580,251885,231346,-58.547335,-34.47127
097070B00000000000000000000000370000005000,097051698,San Isidro,306.51,160,3532.25,338925,336338,369015,338925,-58.547342,-34.471377
097070B00000000000000000000000370000006000,097063263,San Isidro,202.38,160,3532.25,223783,222074,243650,223783,-58.547245,-34.471434
097070B00000000000000000000000370000007000,097051699,San Isidro,285.68,160,3532.25,315892,313481,343937,315892,-58.547181,-34.471525
097070B00000000000000000000000370000008000,097063264,San Isidro,242.75,160,3532.25,268422,266373,292252,268422,-58.547336,-34.471557
097070B00000000000000000000000370000009000,097063265,San Isidro,344.37,160,3532.25,380789,377882,414595,380789,-58.547459,-34.471561
097070B00000000000000000000000370000010000,097063266,San Isidro,344.17,160,3532.25,380568,377662,414354,380568,-58.547553,-34.471608
097070B00000000000000000000000370000011000,097063267,San Isidro,240.85,160,3532.25,266321,264288,289965,266321,-58.547624,-34.471686
097070B00000000000000000000000370000012000,097051700,San Isidro,303.8,160,3532.25,335928,333364,365752,335928,-58.547741,-34.471792
097070B00000000000000000000000370000013000,097063268,San Isidro,219.91,160,3532.25,243167,241310,264755,243167,-58.547818,-34.471714
097070B00000000000000000000000370000014000,097063269,San Isidro,326.41,160,3532.25,360930,358174,392973,360930,-58.547789,-34.471594
097070B00000000000000000000000370000015000,097063270,San Isidro,215.03,160,3532.25,237771,235955,258880,237771,-58.547928,-34.471558
097070B00000000000000000000000370000016000,097051701,San Isidro,212.36,160,3532.25,234818,233026,255665,234818,-58.547965,-34.471471
097070B00000000000000000000000370000017000,097063271,San Isidro,211.8,160,3532.25,234199,232411,254991,234199,-58.548031,-34.471399
097070B00000000000000000000000370000018000,097063272,San Isidro,275.42,160,3532.25,304547,302222,331585,304547,-58.548082,-34.471297
097070B00000000000000000000000370000019000,097051705,San Isidro,429.11,160,3532.25,474491,470868,516616,474491,-58.547877,-34.471333
097070B00000000000000000000000370000020000,097051706,San Isidro,435.47,160,3532.25,481523,477847,524273,481523,-58.547776,-34.471299
097070B00000000000000000000000370000021000,097051707,San Isidro,446.7,160,3532.25,493941,490170,537793,493941,-58.547682,-34.471252
097070B00000000000000000000000370000022000,097051708,San Isidro,433.9,160,3532.25,479787,476124,522382,479787,-58.54758,-34.471217
097070B0000000000000000000000038000000100A,097068988,San Isidro,192.2,160,3358.25,212526,200514,219996,212526,-58.547043,-34.471722
097070B0000000000000000000000038000000100B,097063242,San Isidro,183.64,160,3358.25,203061,191584,210198,203061,-58.546997,-34.471793
097070B00000000000000000000000380000002000,097063243,San Isidro,203.79,160,3358.25,225342,212606,233262,225342,-58.54695,-34.471868
097070B00000000000000000000000380000003000,097063244,San Isidro,202.21,160,3358.25,223595,210958,231453,223595,-58.546886,-34.47194
097070B00000000000000000000000380000004000,097065296,San Isidro,308.29,160,3358.25,340893,321626,352874,340893,-58.546874,-34.472037
097070B00000000000000000000000380000005000,097063251,San Isidro,321.66,160,3358.25,355677,335575,368178,355677,-58.546832,-34.472119
097070B00000000000000000000000380000006000,097063252,San Isidro,213.68,160,3358.25,236278,222924,244582,236278,-58.546734,-34.472178
097070B00000000000000000000000380000007000,097063253,San Isidro,206.68,160,3358.25,228537,215621,236570,228537,-58.54669,-34.472257
097070B00000000000000000000000380000008000,097063254,San Isidro,206.16,160,3358.25,227962,215078,235974,227962,-58.546866,-34.472278
097070B00000000000000000000000380000009000,097063255,San Isidro,395.12,160,3358.25,436906,412213,452261,436906,-58.547013,-34.472249
097070B0000000000000000000000038000001000A,097080699,San Isidro,252.31,160,3358.25,278993,263225,288798,278993,-58.547113,-34.472285
097070B0000000000000000000000038000001000B,097063256,San Isidro,149.78,160,3358.25,165620,156259,171441,165620,-58.547063,-34.472381
097070B00000000000000000000000380000011000,097063257,San Isidro,293.77,160,3358.25,324838,306478,336254,324838,-58.547169,-34.472386
097070B00000000000000000000000380000012000,097063258,San Isidro,204.07,160,3358.25,225651,212898,233582,225651,-58.547233,-34.472478
097070B00000000000000000000000380000013000,097063259,San Isidro,204.39,160,3358.25,226005,213232,233948,226005,-58.547328,-34.472531
097070B00000000000000000000000380000014000,097063260,San Isidro,208.76,160,3358.25,230837,217791,238950,230837,-58.547368,-34.472383
097070B00000000000000000000000380000015000,097063261,San Isidro,323.92,160,3358.25,358176,337933,370765,358176,-58.547346,-34.472268
097070B00000000000000000000000380000016000,097063245,San Isidro,216.13,160,3358.25,238987,225480,247386,238987,-58.547465,-34.472217
097070B00000000000000000000000380000017000,097063246,San Isidro,216.37,160,3358.25,239252,225730,247661,239252,-58.547521,-34.47214
097070B0000000000000000000000038000001800A,097063247,San Isidro,364.13,160,3358.25,402639,379882,416790,402639,-58.547595,-34.472034
097070B00000000000000000000000380000019000,097063248,San Isidro,375.79,160,3358.25,415532,392047,430136,415532,-58.547391,-34.472043
097070B0000000000000000000000038000002000A,097082309,San Isidro,163.45,160,3358.25,180736,170521,187088,180736,-58.54734,-34.47195
097070B0000000000000000000000038000002000B,097063249,San Isidro,215.15,160,3358.25,237903,224457,246264,237903,-58.547266,-34.472007
097070B00000000000000000000000380000021000,097063250,San Isidro,368.24,160,3358.25,407183,384170,421494,407183,-58.547194,-34.471963
097070B00000000000000000000000380000022000,097044702,San Isidro,382.37,160,3358.25,422808,398911,437667,422808,-58.547108,-34.471908
097070B00000000000000000000000390000001000,097063320,San Isidro,201.59,160,3358.25,222909,210311,230743,222909,-58.546569,-34.472454
