radio_id,nivel_geografico,prov,depto,partido,poblacion_sexo__total,poblacion_sexo__mujer_femenino,poblacion_sexo__varon_masculino,poblacion_edad__total,poblacion_edad__hasta_14_anos,poblacion_edad__15_a_64_anos,poblacion_edad__65_y_mas_anos,poblacion_edad_quinq__total,poblacion_edad_quinq__00_a_04,poblacion_edad_quinq__05_a_09,poblacion_edad_quinq__10_a_14,poblacion_edad_quinq__15_a_19,poblacion_edad_quinq__20_a_24,poblacion_edad_quinq__25_a_29,poblacion_edad_quinq__30_a_34,poblacion_edad_quinq__35_a_39,poblacion_edad_quinq__40_a_44,poblacion_edad_quinq__45_a_49,poblacion_edad_quinq__50_a_54,poblacion_edad_quinq__55_a_59,poblacion_edad_quinq__60_a_64,poblacion_edad_quinq__65_a_69,poblacion_edad_quinq__70_a_74,poblacion_edad_quinq__75_a_79,poblacion_edad_quinq__80_a_84,poblacion_edad_quinq__85_a_89,poblacion_edad_quinq__90_a_94,poblacion_edad_quinq__95_a_99,poblacion_edad_quinq__100_a_104,poblacion_edad_quinq__105_y_mas,educacion_mni__total,educacion_mni__sin_instruccion,educacion_mni__primario_incompleto,educacion_mni__primario_completo,educacion_mni__secundario_incompleto,educacion_mni__secundario_completo,educacion_mni__terciario_incompleto,educacion_mni__terciario_completo,educacion_mni__universitario_incompleto,educacion_mni__universitario_completo,educacion_mni__posgrado_incompleto,educacion_mni__posgrado_completo,educacion_mni__ignorado,hogares_nbi__total,hogares_nbi__si,hogares_nbi__no,hogares_ipmh__total,hogares_ipmh__sin_privacion,hogares_ipmh__privacion_solo_de_recursos_corrientes,hogares_ipmh__privacion_solo_de_recursos_patrimoniales,hogares_ipmh__privacion_convergente,hogares_hacinamiento__total,hogares_hacinamiento__hasta_0_50_personas_por_cuarto,hogares_hacinamiento__0_51_0_99_personas_por_cuarto,hogares_hacinamiento__1_00_1_49_personas_por_cuarto,hogares_hacinamiento__1_50_1_99_personas_por_cuarto,hogares_hacinamiento__2_00_3_00_personas_por_cuarto,hogares_hacinamiento__mas_de_3_00_personas_por_cuarto,hogares_tenencia__total,hogares_tenencia__propia,hogares_tenencia__alquilada,hogares_tenencia__cedida_por_trabajo,hogares_tenencia__prestada,hogares_tenencia__otra_situacion,hogares_agua__total,hogares_agua__red_publica_agua_corriente,hogares_agua__perforacion_con_bomba_a_motor,hogares_agua__otra_procedencia,hogares_agua__perforacion_con_bomba_manual,hogares_agua__pozo_sin_bomba,hogares_agua__transporte_por_cisterna_agua_de_lluvia_rio_c,hogares_agua_dist__total,hogares_agua_dist__por_caneria_dentro_de_la_vivienda,hogares_agua_dist__fuera_de_la_vivienda_pero_dentro_del_terreno,hogares_agua_dist__fuera_del_terreno,hogares_desague__total,hogares_desague__a_red_publica_cloaca,hogares_desague__a_camara_septica_y_pozo_ciego,hogares_desague__solo_a_pozo_ciego,hogares_desague__a_hoyo_excavacion_en_la_tierra_etc,hogares_desague__no_aplica,hogares_combustible__total,hogares_combustible__electricidad,hogares_combustible__gas_de_red,hogares_combustible__gas_en_garrafa,hogares_combustible__gas_en_tubo_o_a_granel_zeppelin,hogares_combustible__lena_o_carbon,hogares_combustible__otro_combustible,viviendas_tipo__total,viviendas_tipo__casa,viviendas_tipo__rancho,viviendas_tipo__departamento,viviendas_tipo__vivienda_movil_ocupada_casa_rodante_barco_ca,viviendas_tipo__casilla,viviendas_tipo__pieza_en_inquilinato_hotel_familiar_o_pensio,viviendas_tipo__local_no_construido_para_habitacion_ocupado,viviendas_localidad__total,viviendas_localidad__san_isidro,fuente,fecha_descarga
067563203,radio,06,756,SAN ISIDRO,1047,507,540,1047,261,731,55,1047,67,91,103,104,121,92,86,68,66,58,59,48,29,30,9,4,6,1,3,2,0,0,1047,114,185,136,307,190,38,24,30,11,2,1,9,343,37,306,343,187,54,63,39,343,59,41,104,44,80,15,343,257,57,0,7,22,343,311,21,4,4,2,1,343,330,11,2,341,302,9,27,3,2,343,9,7,324,3,0,0,356,291,1,49,0,3,11,1,356,356,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563204,radio,06,756,SAN ISIDRO,936,460,476,936,355,545,36,936,101,133,121,89,80,75,74,66,55,48,22,19,17,17,8,5,6,0,0,0,0,0,936,144,221,114,264,135,10,17,17,5,3,3,3,271,72,199,271,39,22,111,99,271,36,8,66,35,88,38,271,244,8,0,4,15,271,268,1,2,0,0,0,271,223,36,12,264,126,21,111,6,7,271,27,7,226,10,1,0,270,251,0,2,0,15,1,1,270,270,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563205,radio,06,756,SAN ISIDRO,567,288,279,567,208,346,13,567,57,81,70,58,45,58,48,50,25,20,20,11,11,6,3,1,0,2,0,1,0,0,567,82,143,64,179,71,8,7,5,2,1,0,5,169,26,143,169,24,16,59,70,169,25,10,43,30,49,12,169,159,2,1,5,2,169,147,3,13,0,6,0,169,140,16,13,162,65,33,60,4,7,169,6,11,149,1,2,0,181,161,5,5,1,9,0,0,181,181,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563206,radio,06,756,SAN ISIDRO,1176,601,575,1176,336,778,62,1176,93,122,121,122,137,113,88,61,73,85,40,35,24,25,19,12,2,3,1,0,0,0,1176,149,241,177,359,182,18,8,23,4,8,0,7,361,49,312,361,74,28,138,121,361,59,25,102,52,98,25,361,339,7,1,3,11,361,341,7,10,1,2,0,361,303,52,6,350,206,21,112,11,11,361,7,11,331,9,3,0,355,319,5,22,0,7,1,1,355,355,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563207,radio,06,756,SAN ISIDRO,1135,555,580,1135,348,724,63,1135,92,136,120,117,89,84,87,82,80,73,44,40,28,21,23,10,6,1,1,1,0,0,1135,153,253,164,353,166,12,7,18,4,0,2,3,338,43,295,338,56,26,153,103,338,40,29,101,59,85,24,338,313,7,0,8,10,338,325,0,9,0,3,1,338,283,42,13,332,71,25,219,17,6,338,9,2,319,7,1,0,345,329,3,1,1,9,1,1,345,345,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563208,radio,06,756,SAN ISIDRO,1097,564,533,1097,332,707,58,1097,96,112,124,109,110,98,87,86,48,56,47,40,26,15,26,10,3,3,1,0,0,0,1097,156,219,151,325,160,18,27,28,1,4,1,7,325,35,290,325,61,39,137,88,325,54,27,103,47,78,16,325,294,12,0,5,14,325,318,0,1,4,1,1,325,288,25,12,317,114,35,159,9,8,325,6,6,311,2,0,0,345,329,7,3,0,4,1,1,345,345,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563209,radio,06,756,SAN ISIDRO,1271,658,613,1271,420,784,67,1271,123,149,148,134,107,108,89,90,87,52,41,37,39,28,18,11,6,2,2,0,0,0,1271,169,341,142,408,158,13,12,10,4,7,1,6,373,48,325,373,61,28,148,136,373,47,28,127,56,92,23,373,352,9,1,7,4,373,361,1,3,1,6,1,373,316,39,18,365,77,24,252,12,8,373,10,4,349,10,0,0,385,360,10,2,1,10,2,0,385,385,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563210,radio,06,756,SAN ISIDRO,1237,653,584,1237,245,811,181,1237,69,77,99,104,119,87,71,65,71,69,73,67,85,63,41,32,22,15,6,1,0,1,1237,102,139,101,245,183,48,86,154,121,9,41,8,377,24,353,377,252,47,56,22,377,133,79,89,37,26,13,377,305,26,3,14,29,377,364,11,1,0,0,1,377,357,16,4,371,308,31,29,3,6,377,30,257,89,1,0,0,378,347,5,22,0,2,2,0,378,378,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563211,radio,06,756,SAN ISIDRO,897,465,432,897,267,591,39,897,69,99,99,100,82,80,72,60,63,60,34,24,16,16,11,8,1,1,2,0,0,0,897,117,176,117,251,151,14,16,35,9,3,3,5,256,44,212,256,74,40,74,68,256,38,24,84,43,45,22,256,229,6,0,4,17,256,248,4,3,0,1,0,256,229,16,11,251,170,12,66,3,5,256,13,20,216,7,0,0,254,217,7,16,2,6,2,4,254,254,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563301,radio,06,756,SAN ISIDRO,553,301,252,553,97,324,132,553,46,32,19,16,12,31,54,52,35,36,24,32,32,39,32,27,22,6,5,1,0,0,553,52,37,10,30,55,18,59,63,153,17,59,0,284,1,283,284,262,18,3,1,284,149,69,58,4,3,1,284,146,112,1,21,4,284,284,0,0,0,0,0,284,284,0,0,284,281,1,2,0,0,284,39,243,2,0,0,0,304,7,0,297,0,0,0,0,304,304,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
