radio_id,nivel_geografico,prov,depto,partido,poblacion_sexo__total,poblacion_sexo__mujer_femenino,poblacion_sexo__varon_masculino,poblacion_edad__total,poblacion_edad__hasta_14_anos,poblacion_edad__15_a_64_anos,poblacion_edad__65_y_mas_anos,poblacion_edad_quinq__total,poblacion_edad_quinq__00_a_04,poblacion_edad_quinq__05_a_09,poblacion_edad_quinq__10_a_14,poblacion_edad_quinq__15_a_19,poblacion_edad_quinq__20_a_24,poblacion_edad_quinq__25_a_29,poblacion_edad_quinq__30_a_34,poblacion_edad_quinq__35_a_39,poblacion_edad_quinq__40_a_44,poblacion_edad_quinq__45_a_49,poblacion_edad_quinq__50_a_54,poblacion_edad_quinq__55_a_59,poblacion_edad_quinq__60_a_64,poblacion_edad_quinq__65_a_69,poblacion_edad_quinq__70_a_74,poblacion_edad_quinq__75_a_79,poblacion_edad_quinq__80_a_84,poblacion_edad_quinq__85_a_89,poblacion_edad_quinq__90_a_94,poblacion_edad_quinq__95_a_99,poblacion_edad_quinq__100_a_104,poblacion_edad_quinq__105_y_mas,educacion_mni__total,educacion_mni__sin_instruccion,educacion_mni__primario_incompleto,educacion_mni__primario_completo,educacion_mni__secundario_incompleto,educacion_mni__secundario_completo,educacion_mni__terciario_incompleto,educacion_mni__terciario_completo,educacion_mni__universitario_incompleto,educacion_mni__universitario_completo,educacion_mni__posgrado_incompleto,educacion_mni__posgrado_completo,educacion_mni__ignorado,hogares_nbi__total,hogares_nbi__si,hogares_nbi__no,hogares_ipmh__total,hogares_ipmh__sin_privacion,hogares_ipmh__privacion_solo_de_recursos_corrientes,hogares_ipmh__privacion_solo_de_recursos_patrimoniales,hogares_ipmh__privacion_convergente,hogares_hacinamiento__total,hogares_hacinamiento__hasta_0_50_personas_por_cuarto,hogares_hacinamiento__0_51_0_99_personas_por_cuarto,hogares_hacinamiento__1_00_1_49_personas_por_cuarto,hogares_hacinamiento__1_50_1_99_personas_por_cuarto,hogares_hacinamiento__2_00_3_00_personas_por_cuarto,hogares_hacinamiento__mas_de_3_00_personas_por_cuarto,hogares_tenencia__total,hogares_tenencia__propia,hogares_tenencia__alquilada,hogares_tenencia__cedida_por_trabajo,hogares_tenencia__prestada,hogares_tenencia__otra_situacion,hogares_agua__total,hogares_agua__red_publica_agua_corriente,hogares_agua__perforacion_con_bomba_a_motor,hogares_agua__otra_procedencia,hogares_agua__perforacion_con_bomba_manual,hogares_agua__pozo_sin_bomba,hogares_agua__transporte_por_cisterna_agua_de_lluvia_rio_c,hogares_agua_dist__total,hogares_agua_dist__por_caneria_dentro_de_la_vivienda,hogares_agua_dist__fuera_de_la_vivienda_pero_dentro_del_terreno,hogares_agua_dist__fuera_del_terreno,hogares_desague__total,hogares_desague__a_red_publica_cloaca,hogares_desague__a_camara_septica_y_pozo_ciego,hogares_desague__solo_a_pozo_ciego,hogares_desague__a_hoyo_excavacion_en_la_tierra_etc,hogares_desague__no_aplica,hogares_combustible__total,hogares_combustible__electricidad,hogares_combustible__gas_de_red,hogares_combustible__gas_en_garrafa,hogares_combustible__gas_en_tubo_o_a_granel_zeppelin,hogares_combustible__lena_o_carbon,hogares_combustible__otro_combustible,viviendas_tipo__total,viviendas_tipo__casa,viviendas_tipo__rancho,viviendas_tipo__departamento,viviendas_tipo__vivienda_movil_ocupada_casa_rodante_barco_ca,viviendas_tipo__casilla,viviendas_tipo__pieza_en_inquilinato_hotel_familiar_o_pensio,viviendas_tipo__local_no_construido_para_habitacion_ocupado,viviendas_localidad__total,viviendas_localidad__san_isidro,fuente,fecha_descarga
067563404,radio,06,756,SAN ISIDRO,959,516,443,959,181,639,139,959,54,62,65,81,78,66,55,72,74,77,46,37,53,32,49,25,18,10,2,3,0,0,959,101,102,87,200,212,42,54,103,42,5,2,9,310,18,292,310,229,41,23,17,310,92,53,98,28,35,4,310,193,65,0,16,36,310,304,1,1,1,2,1,310,310,0,0,308,272,22,14,0,2,310,20,256,31,3,0,0,312,282,0,21,3,1,5,0,312,312,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563405,radio,06,756,SAN ISIDRO,1128,607,521,1128,182,691,255,1128,33,74,75,74,57,59,55,89,89,81,56,63,68,78,58,58,27,23,7,4,0,0,1128,75,107,66,171,217,52,92,124,151,15,50,8,419,8,411,419,356,46,13,4,419,177,112,93,27,8,2,419,312,64,1,21,21,419,411,6,2,0,0,0,419,419,0,0,419,375,30,14,0,0,419,45,360,11,3,0,0,432,410,0,21,0,0,0,1,432,432,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563406,radio,06,756,SAN ISIDRO,623,330,293,623,104,391,128,623,32,32,40,43,32,22,33,37,62,46,35,40,41,45,33,27,12,7,3,1,0,0,623,49,53,44,99,97,30,55,75,84,9,24,4,237,1,236,237,211,20,3,3,237,95,54,71,11,6,0,237,168,35,1,11,22,237,233,0,3,0,0,1,237,236,1,0,237,231,4,2,0,0,237,23,211,3,0,0,0,237,229,0,7,0,1,0,0,237,237,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563407,radio,06,756,SAN ISIDRO,674,365,309,674,105,449,120,674,27,32,46,46,49,44,30,42,55,52,34,43,54,34,29,24,11,11,9,2,0,0,674,73,49,39,121,118,27,57,86,70,9,20,5,236,13,223,236,192,32,10,2,236,93,52,60,19,11,1,236,176,29,10,9,12,236,234,2,0,0,0,0,236,235,0,1,236,212,17,7,0,0,236,14,207,13,2,0,0,236,224,0,5,2,0,5,0,236,236,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563501,radio,06,756,SAN ISIDRO,1393,739,654,1393,267,919,207,1393,62,103,102,99,87,101,103,102,101,92,88,72,74,61,56,43,29,11,6,1,0,0,1393,130,171,175,307,301,58,76,92,47,12,10,14,453,17,436,453,333,85,21,14,453,92,72,173,50,60,6,453,308,70,0,35,40,453,451,1,1,0,0,0,453,449,4,0,451,363,67,21,0,2,453,29,336,88,0,0,0,451,413,0,35,0,2,1,0,451,451,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563502,radio,06,756,SAN ISIDRO,847,430,417,847,133,554,160,847,34,47,52,46,46,41,57,66,64,75,53,55,51,49,35,42,22,5,6,1,0,0,847,62,78,71,152,190,54,63,95,53,11,12,6,317,4,313,317,257,30,22,8,317,106,74,94,19,23,1,317,214,73,1,13,16,317,311,3,2,0,1,0,317,315,2,0,316,281,25,10,0,1,317,24,279,13,1,0,0,348,296,0,50,0,2,0,0,348,348,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563503,radio,06,756,SAN ISIDRO,765,417,348,765,110,475,180,765,22,50,38,36,48,47,49,61,52,44,58,39,41,46,54,38,18,14,10,0,0,0,765,43,70,61,110,169,47,72,98,72,11,4,8,322,8,314,322,297,18,5,2,322,118,82,88,15,18,1,322,200,91,0,10,21,322,316,3,3,0,0,0,322,322,0,0,322,279,37,6,0,0,322,30,284,7,1,0,0,359,295,1,59,0,0,4,0,359,359,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563504,radio,06,756,SAN ISIDRO,843,421,422,843,140,554,149,843,28,51,61,48,40,46,60,57,66,51,59,50,77,46,40,28,13,14,5,3,0,0,843,46,80,67,153,148,51,96,111,59,10,18,4,321,16,305,321,270,36,9,6,321,100,77,103,26,14,1,321,210,79,1,9,22,321,307,4,6,0,4,0,321,321,0,0,321,273,39,9,0,0,321,25,264,32,0,0,0,332,287,1,32,2,1,6,3,332,332,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563505,radio,06,756,SAN ISIDRO,1078,588,490,1078,175,703,200,1078,45,60,70,74,61,72,79,52,93,85,72,75,40,58,53,48,24,9,8,0,0,0,1078,81,112,114,219,214,56,88,103,57,9,13,12,400,13,387,400,337,46,14,3,400,117,75,135,29,42,2,400,258,80,0,25,37,400,391,6,3,0,0,0,400,398,2,0,400,347,39,14,0,0,400,23,346,28,2,0,1,409,339,0,60,3,1,2,4,409,409,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563506,radio,06,756,SAN ISIDRO,1075,570,505,1075,181,710,184,1075,33,73,75,87,57,71,50,67,93,105,79,53,48,53,51,31,28,10,9,2,0,0,1075,68,124,103,259,244,47,82,88,42,8,5,5,386,10,376,386,305,55,20,6,386,98,69,131,40,48,0,386,241,72,0,31,42,386,380,2,4,0,0,0,386,384,2,0,386,322,49,15,0,0,386,36,318,32,0,0,0,411,349,1,54,1,1,3,2,411,411,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563507,radio,06,756,SAN ISIDRO,779,413,366,779,129,511,139,779,25,41,63,60,45,54,42,47,58,63,53,48,41,27,40,29,26,12,5,0,0,0,779,50,72,71,176,158,36,74,88,25,7,16,6,297,14,283,297,260,27,6,4,297,104,51,101,16,18,7,297,170,85,2,16,24,297,290,1,3,0,0,3,297,297,0,0,297,273,17,6,1,0,297,34,238,18,2,0,5,325,258,0,61,0,5,0,1,325,325,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563508,radio,06,756,SAN ISIDRO,1166,612,554,1166,175,809,182,1166,44,51,80,86,82,71,71,82,79,90,88,83,77,55,51,32,23,15,6,0,0,0,1166,82,86,91,247,258,67,105,130,68,3,19,10,428,4,424,428,365,47,8,8,428,133,98,150,21,25,1,428,297,71,2,29,29,428,423,2,3,0,0,0,428,427,1,0,428,381,37,10,0,0,428,26,376,24,2,0,0,461,428,0,30,0,2,1,0,461,461,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563509,radio,06,756,SAN ISIDRO,648,331,317,648,90,438,120,648,27,29,34,46,55,32,37,37,49,55,44,49,34,24,40,19,21,10,5,1,0,0,648,40,53,77,158,162,29,43,47,21,4,9,5,255,6,249,255,202,33,14,6,255,78,61,78,22,14,2,255,156,70,3,18,8,255,252,1,2,0,0,0,255,255,0,0,254,221,25,8,0,1,255,23,211,19,2,0,0,289,238,0,49,0,0,2,0,289,289,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
067563510,radio,06,756,SAN ISIDRO,524,269,255,524,85,327,112,524,27,29,29,22,34,38,36,45,32,38,25,27,30,39,20,24,14,11,2,2,0,0,524,39,37,49,92,105,24,47,72,36,4,9,10,213,7,206,213,188,21,3,1,213,72,40,73,17,11,0,213,117,64,0,18,14,213,208,1,4,0,0,0,213,213,0,0,212,182,18,12,0,1,213,21,187,4,0,0,1,245,169,0,71,0,2,3,0,245,245,"INDEC, Censo Nacional de Poblacion, Hogares y Viviendas 2022, procesado con Redatam 7",2026-09-06
